Nama,Tanggal,Rating,comment
Abdulla Salim,8 Agustus 2021,5,"Apakah tiktok lagi gangguan penarikan saldo? Kenapa belum juga masuk kerekening saya ya? Padahal sudah 1x24 jam, mohon kepada pihak tiktok perbaiki lagi penarikan saldonya supaya lebih cepat biar gak nunggu sampe berhari hari ya Terima kasih... Mohon bantuannya ya tiktok"
Saka Saka,7 Agustus 2021,1,PT tiktok aneh.. disuruh ngundang... tapi enggak bisa ngundang.. kalau bangkrut mah sudah tutup aja.. di suruh ngundang tapi enggak bisa.. hilangin aja undangannya.. kasih banus aja buat yang nonton.. besarin bonus nya..apa lah enggak jelas
Agita Ismala Putri,7 Agustus 2021,5,Aplikasinya bagus banget
Anak Epep,7 Agustus 2021,1,"Aplikasi lawak, saya baru saja lihat YouTube aplikasi penghasil uang ketemu ""tiktok"" katanya legit, membayar, no scam. Kenyataannya TIDAK saya baru download pakai link dan daftar suruh masukin kode dapet Rp 7000 enggak bisa2 malah dibilang penipuan kontrol, maksud nya gimana saya aja main tiktok."
erin erin destiani,6 Agustus 2021,5,Aplikasi ini seru banget kalian harus download
Uus Simala,7 Agustus 2021,1,Saldo 2jt aku selalu gagal buat di tarik.. Hp xiomi ku dah enggak bisa masukin referal dan nonton video lagi ... Makin kesini makin susah ... Group penghasil uang tiktok bubar ... Mohon kembalikan seperti dulu ...
gari nyawang,5 Agustus 2021,5,Aplikasinya seru dan bagus...
Sarlota Hadju,7 Agustus 2021,5,Aplikasinya seru banget
yaya 1234,6 Agustus 2021,5,"Ihh enak banget bisa bikin video bisa nonton semua bisa aku kasih......., bintang lima?????????????????????????????????????????????"
Ensiklopedia Musik,8 Agustus 2021,1,"HALO Gan, gimana pihak tiktok, masak mau penarikan saldo Tidak juga masuk dari kemarin padahal Saya lagi butuh banget, Tolong dong kejelasannya, Susah payah undang orang, tapi giliran mau penarikan saldo tidak masuk2 tolong perbaiki lagi, supaya pengguna tidak kapok, Cuma nonton orang joget enggak jelas."
Danish Bagasditya Pranaja,7 Agustus 2021,5,"Mantap videonya keren banget,????? Apa lihat lihat emang bagus kok"
Nenek Uti,7 Agustus 2021,5,Sumpah aplikasinya jelek banget Tapi bohong😂
Alya Dwi rahmadania,8 Agustus 2021,5,Aplikasi bagus bangan kalian harus download sekarang juga
kode tiktok GBDPPMNGMPYTG,2 Agustus 2021,4,Bagus aplikasinya sangat menyukai jadinya saya
Fah Ri,6 Agustus 2021,5,Saya kesal dan kecewa dah malas instal tiktok lagi.sudah nontonya selalu eror.kalo pun bisa di tonton poin nya semakin lama semakin sedikit tidak sesuai sama kuota yang kita habiskan buat nonton. Auto uninstall aja dari pada bikin pusing...
Afra Naila,7 Agustus 2021,5,"Aku kasih bintang 5 karena...............................................................,.............................................................................................................................................................................Banyak video bagus,keren pokoknya"
Pengguna Google,8 Agustus 2021,5,"Tiktok adalah platform video live streaming sosial di mana Broadcaster mendapatkan sarana untuk mengelola dan mengembangkan bisnisnya. Tempat bertemu orang baru, pamer bakat, dan mendapatkan teman dari seluruh dunia Kode undangan yang paling banyak dipakai member Tiktok ⒼⒷⓏ③ⓏⓈⓋⓌⓋⓍⓎⓎ❸"
Bobbi Henning,7 Agustus 2021,3,Yeay Aplikasi Tiktok bisa jadi penghasilan uang dengan menonton video saja sudah terbukti membayar
nurul marlian19,4 Agustus 2021,5,Aplikasinya super seru banget ...
Tri Arga,7 Agustus 2021,4,Aplikasi yang sangat pasti pasti dapat hadiah uang cukup nonton video aja ...
Dede Rian,6 Agustus 2021,5,Ini bagus banget kalian wajib download kenapa lihat ke bawah
Gaming nisa,6 Agustus 2021,5,Bagus banget njrotttt apa? Kan emg bagus...
Vio Lina,5 Agustus 2021,5,Aplikasinya sangat menghibur dan bagus Apa lihat kebawah sudah dibilang bagus...
Tom Dhioks,4 Agustus 2021,5,Aplikasinya mantap banget Ayo yang belum download aplikasinya download sekarang
Deni Alfian,5 Agustus 2021,5,Apalikasinya bagus banget wajib download ...
Etik Zuliana,4 Agustus 2021,5,Terlalu ada bu Sri download aja kalian ??????????????????????????????????????????????????????????????????????????????????????? ?? ? ?????????? ? ?? Kenapa lihat lihat kan sudah ku suruh download
Jenny Kaunang,6 Agustus 2021,5,Aplikasinya bagus banget ? Apa lihat² 😑
Lisa maiyuli8,7 Agustus 2021,1,"Tolong ya video giveaway atau bagi2 uang di blokir aja ,makin banyak aja orang yang jadi pengemis, sama komentar dihilangkan aja biar ngga ada netizen yang jahat komennya biar ngga bikin malu sama tulisan busuk netizen,demi nama baik di Indonesia"
Ayu oktavia Ningrum,7 Agustus 2021,1,"kalau emang aku ada tidak tertarik sm tagar di konten orang, ya jangan dimasukin lagi. aku sudah blok org yang pake tagar itu. tapi kenapa yang lain masuk? tiktok kenapa sih? aku ga suka kapal itu ya jangan dimasukin lagi ke fyp."
Saili Mm,4 Agustus 2021,5,Bagus banget aplikasinya aku suka ...
Eka Susilawati,3 Agustus 2021,5,Bagus banget kalian sudah download ini belum kenapa lihat ke sini kan sudah bilang bagus nah ngerti dah
Rezky Salman,5 Agustus 2021,3,"Untuk developer, ini kenapa ya akhir akhir ini tiktok sering lag banyak pengguna lain juga yang merasakan hal ini . Jika ini merupakan kesalahan teknis tolong diperbaiki supaya kami bisa nyaman seperti kemarin, melihat Video video tiktok lagi. Terimakasih"
Muhammad Fajar Ananda Putra,28 Juli 2021,5,Aplikasi ini bagus banget????????...
Indra Couple,26 Juli 2021,5,"Tiktok bisa sampai jutaan bonusnya,suka banget pakai aplikasi tiktok, ⒼⒷ⑧ⒷⓎⒼ⑨ⓇⓏⓍⓎⓈ④ pakai kodenya,supaya dapat bonus setiap hari, aplikasi aman tahun 2021"
Cahya Dan Xobirin,3 Agustus 2021,5,"Jangan iri jangan iri, jangan iri dengki. Yok mari pakai ini 🅕̣̣̣❻̣̣̣🅟̣̣̣🅐̣̣̣❽̣̣̣🅢̣̣̣❽̣̣̣❻̣̣̣🅜̣̣̣🅧̣̣̣🅨̣̣̣🅣̣̣̣🅖̣̣̣ banyak bonusnya. Buruan klaim sebelum kehabisan"
Nia Kurnia,2 Agustus 2021,5,Aku suka banget sama tiktok...
Muh. Joy Saputra,6 Agustus 2021,5,"Bacot aplikasi tai misinya sudah dilakukan tapi tidak bisa anjing,🗿?? Tapi bohong Hayuk🗿👍"
Nely Kepsek,28 Juli 2021,5,asik dapet koin dari Tiktok 10000k .. Bisa diuangkan loh guys..No Hoax.... 🅶🅱🆉❸🆉🆂🆅🆆🆅🆇🆈🆈❸ pakai kode undangan itu di tambah lagi koin nya 20000k.
Prasasti Kinasih,14 Juli 2021,5,"Bagus aplikasinya, buat yang masih dibawah umur, sebaiknya bisa melihat konten yang memang seumurannya,buat para orang tua juga tetap diawasi anak-anaknya biar ngga kebablasan. Banyak konten yang mendidik di tiktok ini, mulai dari pendidikan, memasak, pengetahuan,banyak pokoknya,jadi kita juga harus pintar..."
Yustina Rika,29 Juli 2021,5,Bagus banget Kalian harus punya aplikasi ini karna aplikasi ini bisa buat hiburan di saat kalian lagi banyak banget pikiran apalagi buat kalian yang kuliah bisa buat nambah-nambah uang saku kalian karna aplikasi ini bisa menghasikan uang.
Ilham God,16 Juli 2021,5,Aplikasi ini sangat bagus buruan instal sekarang ...
Ag Motor,27 Juli 2021,1,Aplikasi buruk sama tidak seru...
Yulia Safitri,14 Juli 2021,5,Wow bagus banget...
Alfha Anoit,12 Juli 2021,5,Bagus banget???????????? kenapa lihat kebawah kan uda kubilang
*frontal* *2413*,5 Agustus 2021,5,Aplikasi sangat bagus kenapa lihat bawah
Raya Arum,5 Agustus 2021,5,Aplikasinya seru kenapa lihat ke bawah kan sudah aku bilang Aplikasinya bagus banget
Baha Rudin,24 Juli 2021,4,Bagus apa lihat2 sudah ku bilang bagus
M Trefi Andrian,7 Agustus 2021,5,Bagus dan sulit untuk dilupakan sampe sekarang ini juga memiliki luas sebesar Rp yang mau di follow rt aja ya kak untuk nomornya masih di bawah pimpinan DPR ri yang tertulis di kecamatan tanjung priok sebagai pecahan planetisimal
Bagas Dwi Nugroho,20 Juli 2021,5,Aplikasinya bagus banget...
babak bunyak,17 Juli 2021,5,Wah aplikasinya bagus banget kenapa lihat lihat kebawah dah di bilang bagus
Irwan D'Li,7 Agustus 2021,5,Aku suka tiktok ini ada BTS ARMY aku mau download tiktok seru
Kevin Tamba Kevin,2 Agustus 2021,5,Aplikasinya bagus banget ...
Muhamaddaniel Ramadani,3 Agustus 2021,5,hey buat Dani yating kalo ada cewek2 yang sebarin aurat ya tidak usah dilihat sama tidak usah di follow ya cari yang lain kek nanti video cewek2 yang enggak nutupin auratnya ya lama2 ya hilang
Briliant Reiss0308,5 Agustus 2021,5,"Aplikasi lawak, saya baru saja lihat YouTube aplikasi penghasil uang ketemu ""tiktok"" katanya legit, membayar, no scam. Kenyataannya TIDAK saya baru download pakai link dan daftar suruh masukin kode dapet Rp 7000 enggak bisa2 malah dibilang penipuan kontrol, maksud nya gimana saya aja main tiktok."
Walker Bradshaw,6 Agustus 2021,5,"Ini aplikasi tiktok keren habis kalian harus download ini, di sini banyak sekali video lucu yang sedang Trend sehingga menonton pun sangat terhibur."
Narasoma Demark,6 Agustus 2021,5,Makasih tiktok aku sekarang jadi seleb makasih ya Halunya gede banget 🤣🤣🤣🤣 Btw aplikasi ini menghibur kalian wajib download 👍👍🙏🙏🙏
NKF gaming,6 Agustus 2021,5,"aplikasi ini sanggat keren bisa nonton video??????????????'''#/66*, apa lihat lihat bawah ada pocong kah kan sudah ku biang aplikasi ini bagus"
Azam Alfarizi,18 Juli 2021,5,APLIKASI YANG SANGAT BAGUS...
larasati murt,8 Agustus 2021,5,Aplikasinya cakep banget
Salwa Damayanti,20 Juli 2021,5,Wow bagus banget ya??????????????????????????....?....?....?????????????????????????????????????????????????????????????????????????????????????? Aku gabakal kaya orang itu
Rabiatul Adawiyah,11 Juli 2021,5,aplikasinya bagus banget fiks pokoknya kalian harus download?
Darius Harasi,6 Agustus 2021,1,"Makin lama tiktok makin kayak sampah, kenapa masukin kode enggak bisa, gagal mulu, keluar penipuan mulu, emang nipu darimana Malah sekarang masukin kode enggak bisa hilang Kan lumayan uang 7000 buat nambah"
Ila Borja,7 Agustus 2021,5,"Tukang bangunan yaitu kerja padang plafon dan padang keramik dan pemasangan batu bata pada dinding bangunan terus pokoknya banyak pengalaman di bidang bangunan juga pengalaman lain sebagai Tukang ojek , kerja tani di ladang , pengalaman bola voli, pengalaman melukis , pengalaman di laut mencari ikan ..."
Dian Ayu,6 Agustus 2021,5,Aplikasinya bagus banget
Ros Mini,1 Agustus 2021,5,Aplikasi ini Bagus...
ALVIS GAMING,30 Juli 2021,5,jelek banget Tapi bohong
imam kholifuddin abdul faqih,3 Agustus 2021,5,Bagus banget Apa lihat lihat gua ganteng ya😜
Sakinah Maulidah putri,10 Juli 2021,5,Aplikasinya bagus banget sudah tau aplikasinya bagus masih aja lihat ke bawah🤗
Tiara Ilham,6 Agustus 2021,5,Aplikasinya bagus banget 👍👍👍👍👍
Edo Logam Steell,25 Juli 2021,5,Aplikasi yang sangat luar biasa banyak informasi dan bermanfaat cepat saji cepat viral juga dapat uang tunai yang lumayan.. Walaupun saya beri bintang 5 bukan berarti aplikasi ini tidak punya kekurangan.. Kekuranganya adalah.. 1 Apabila kode undangan belum di isi maka pada hari esok hilang
The lova bellvania,21 Juli 2021,5,Saya suka tiktok kalian harus Download aplikasi ini. kenapa kakak cantik kepo ya
Maya Kumala,4 Agustus 2021,5,"Terimakasih tiktok, aku mendapatkan ilmu ilmu baru yang aku dapatkan dari tiktok, banyak orang yang membagi pengalaman mereka, cerita kehidupan mereka, ada juga yang memberi tips² kehidupan dengan baik, terimakasih sudah menciptakan aplikasi tiktok🥰❤️"
Suriati Anwar lubis,26 Juli 2021,5,Pak ini bagus...
Muhammad Rizki,18 Juli 2021,1,"Bismillah.. Jangan Download aplikasi ini.., jika kamu tidak bisa mengontrol dirimu. Di aplikasi ini, banyak konten konten negatif. Ketahuilah Setiap Raja mempunyai larangan, dan larangan Allah adalah, hal hal yang diharamkan nya. Awal awal tidak dosa, tapi lama kelamaan mendekati dosa."
Enjat Cylinder heidelberg,3 Agustus 2021,5,"Aplikasi penghasil uang no 1 didunia modal duduk sambil nonton video disini tempatnya, suda jutaan orang membuktikannya dibayar cepat penarikan uangnya, upload video, like, share semua dapat uang, jangan sampai kalian lewatkan uang tambahan gunakan ini poin tambahan G̲̅B̲̅8̲̅B̲̅Y̲̅G̲̅9̲̅R̲̅Z̲̅X̲̅Y̲̅..."
Nurul Hidayat,19 Juli 2021,5,tidak bagus
LADIES ledis,6 Agustus 2021,5,Bukan cuman hiburan tapi banyak manfaat yang bisa kita ambil dari tiktok ini............banyak video edukasi yang bisa jadi inspirasi yang bermanfaat untuk kita. aku dukung aplikasi ini sukses tiktok
hartoyo toyo,1 Agustus 2021,5,"Bagus banget,,,,,,,,,,,,,,,,,,.............................................................................................................................................................................................. .............................. kenapa lihat bawah kan tadi aku sudah bilang..."
dediYuliawan Official,25 Juli 2021,3,"Hai admin, mungkin boleh di turunin dikit resiko di tiktok, soalnya banyak akun teman teman di tiktok, yang postingannya biasa saja, ke blokir permanen, oleh sebab ada yang melaporkan, mungkin sebaiknya meskipun banyak yang melaporkan akun, sebelum di blokir di cek dulu lah kontennya, kasian dah banyak..."
Park Jimin,7 Agustus 2021,1,Hei kalau bikin Aplikasi yang bener ini enggak. Kalian ya dari pihak tiktok seharusnya harus Lebih memuaskan para pelanggan kalian kalian juga harus selalu berpartisipasi supaya kalian terus maju. Coba lihat like mereka selalu saja meningkatkan terus aplikasi mereka supaya para tamu para tamu di ...
Eita Xaviera,15 Juli 2021,1,"Tiktok kenapa? Hadiah undang teman kenapa ""tidak dapat memproses""? Juga, kenapa misi menonton video saya hilang? Kenapa cuma ada misi undang teman? Dipikir saya mudahkah cari pengguna baru? Susah buat orang yang tidak terkenal kaya saya . Misi nonton video balikin lah, dikit"" juga lumayan walaupun cuman..."
Mama Nisa,7 Agustus 2021,2,Terpaksa saya turunin bintangnya. Koin muncul sebentar pas nonton malah macet di 3 menit. yang parah lagi koin misi nonton bisa hilang sendiri. Penarikan sampai sekarang belum cair cair juga . Kecewa banget
zhaky Fathurrozak_Jefran,7 Agustus 2021,5,"Tolong dong ramein tiktok saya jefranw ? Ku ingin jadi seleb, yang followersnya banyak. Tolong yah sering""in video saya masukin fyp. Biar pada tau akun saya.terimakasih tiktok🙏💕, i love you so much ❤✨"
Muhammad Rohmad,6 Agustus 2021,5,Aku suka banget aku download ini di hp aku semua bagus banget
Gladis,7 Agustus 2021,5,"Aplikasi ini sangat cocok untuk mengisi waktu santai. Tolong tambahkan fitur dark mode untuk android juga, supaya kami lebih nyaman seperti Instagram atau Twitter. Yang dimana mereka juga menggunakan fitur dark mode. Terima kasih, semoga TikTok merespons ulasan saya."
hafiy azmi,8 Agustus 2021,5,Aplikasi nya bagus emang bagus kenapa
TIS YANA,7 Agustus 2021,1,"Maaf admin yang terhormat, kenapa sekarang susah memasukan kode undangan? Jangan di persulit biar pengguna tiktok semakin banyak, kalah bersaing seperti SNACK VIDEO"
Vivi Kuprit,5 Agustus 2021,5,"Aplikasinya sangat bagus Ini bisa di buat hiburan Aku suka banget Aplikasi ini juga bisa menghasilkan uang , saya suka banget sama tiktok dan saya sudah mengumpulkan uang di tiktok dan bisa tarik saldo aku kasih bintang 5 karena aplikasi ini sangat bagus Terimakasih yang bisa ciptakan aplikasi ini Makasih"
Dian Mardiana,5 Agustus 2021,1,"kesal banget sudah install aplikasi ini. Cuma menghabiskan kuota. Iming"" ada event undang temen tapi masukin kode aja susah error trus. Aplikasi penipu."
boombay 1221,3 Agustus 2021,5,Sumpah bagus banget game ini ........?Kenapa lihat ke bawah?
Lane Smith,2 Agustus 2021,4,Aplikasi terbaik yang pernah ada memang benar terbukti bisa menghasilkan uang mantap.
Jasmine Parahita,29 Juli 2021,5,"Masa saya bangun tidur pagi² akun Tiktok saya tiba-tiba hilang padahal baru buka hp terus pas saya download ulang mau daftar kok pas masukin tanggal lahir ada tulisan "" maaf anda tidak memenuhi syarat untuk Tiktok.... Tapi terima kasih telah tertarik"" itu apaan? Coba tolong dibenerin"
Abdul Haris,18 Juli 2021,5,LUAR BIASA...
Kevin hoiri Insani,2 Agustus 2021,5,aplikasi ini bagus sekali kenapa lihat lihat kepo
nira lailatulisa,4 Agustus 2021,1,Please dong pulihkan akun aku Kasih aku satu kesempatan buat hapus2 video ditiktok aku.. tidak tahu kenapa akun tiba2 diblokir tidak jelas banget si aplikasi . akun aku juga digembok padahal.. pulihkan dulu baru aku kasih bintang 5 Awas aja data2 aku disalahgunakan
Alvaro,26 Juli 2021,5,Aplikasi ini bagus bagus banget kenapa lihat ke bawah kan gua sudah bilang bagus-_-
Astrid Claudya,4 Agustus 2021,2,"Tiktok ada apa yah? Kok semua video saya tiba-tiba di hapus sepihak? Katanya melanggar panduan komunitas tapi kenapa yang di privasi pun kena imbas? Saya sudah email tapi belum ada respon. Banding sudah di ajukan, konten di pulihkan tapi sampai sekarang video saya masih terhapus. Tolong dong tiktok."
Rizky Okta,7 Agustus 2021,1,"Untuk aplikasi ini, Saya baru beli coin 350 tapi tidak masuk coinnya, Untuk aplikasi Tiktok tolong perbaiki lagi untuk pembelian coin nya, Kami telah rugi 75k"
Zahara daffa Zahara,29 Juli 2021,5,Aplikasi ini sangat bagus kalian harus download aplikasi...
valdes mkb,10 Juli 2021,5,Aplikasinya bagus banget kenapa lihat².
CHEYSAုူးြ့်,6 Agustus 2021,5,"kenapa sih kalo scrol kebawah nemu ini, aplikasinya bagus baget apa lihat² kan dah bilang bagus,buat apa sih begitu buat apa,kau pikir bagus, kagak😭🗿"
Sigit AB,22 Juli 2021,3,"Halo admin TikTok, kenapa aplikasi TikTok saya sudah beberapa hari ini tidak ada misi menonton video selama 30 menitnya ? Padahal saya tidak pernah melakukan kecurangan pada aplikasi ini. Yang pernah saya lakukan yaitu mereset factory ponsel karena ada masalah di ponsel dan setelah itu saya login.."
Aisha N Putri,5 Agustus 2021,4,BAgUs 🤬 😡 Apa lihat orang dibilang bagus💔
Rakha Noor,14 Juli 2021,2,"Kenapa isi fyp saya videonya sama terus?? saya punya 3 akun tetapi tetap sama saja? itu juga video orang luar terus saya juga sudah melakukan beberapa cara tetapi masih tetap tidak bisa, dan saya juga sudah uninstall dan install balik masih saja tidak bisa,kenapa tiktok???? tolong perbaiki secepatnya..."
Syarifudin Syarifudin,6 Agustus 2021,5,Aplikasi ini bagus banget
Bunga Tazkiya,31 Juli 2021,5,Aplikasi nya sangat seru? Napa lihat lihat🗿
damian gendang,6 Agustus 2021,5,Bagus aplikasinya bagus apa lihat lihat ingin tak tampok😈
36 - Valentino Adrian,30 Juli 2021,5,"Aplikasi ini sangat besar dalam penggunaan paket data saya, saran untuk pengembang aplikasi ini tolong tambahkan setting resolusi layar dimulai dari 144p sampai 4K mungkin sampai 8K biar beberapa video tidak selalu tinggi resolusi layarnya dan bisa diatur tinggi rendah resolusi layarnya."
Danu samudra samudra,26 Juli 2021,5,Aplikasinya bagus banget seriusan enggak di bohongin Di bilangin bagus malah ngelihat kebawah
Rika wijaya,6 Agustus 2021,4,Mau tanya kenapa point nonton video jadi hilang trus saya sudah berhasil 1 undang teman yang download tapi kayaknya gak nambah reward / uang / point' apapun ...apanya yang salah ya ?
nisrin tahta alfina,30 Juli 2021,2,Saya ingin protes kenapa setiap saya berkomentar positif selalu mendapat blokir sementara ini maksudnya apaan sih dan aku hanya memposting video yang direkam layar dan hanya menunjukkan tutorial tapi kenapa dianggap melanggar komunitas?yang lainnya juga memposting video di rekam layar tapi tidak terblokir
Dani Yati,31 Juli 2021,1,Bagus banget TAPI bohong HAYUK APLIKASI INI JELEK KARENA BANYAK KAUM PEREMPUAN YANG MENYEBAR AURAT YANG HARUS DITUTUP
