comment,Label
"Aplikasi lawak, saya baru saja lihat YouTube aplikasi penghasil uang ketemu  ""tiktok"" kata legit, membayar, no scam. Ketaan TIDAK saya baru download pakai link dan daftar suruh masukin kode dapat Rp 7000 enggak bisa2 malah dibilang penipuan kontrol, maksud  gimana saya aja main tiktok.",Negatif
Aplikasi ini seru banget kalian harus download,Positif
Saldo 2jt aku selalu gagal buat di tarik.. Hp xiomi ku dah enggak bisa masukin referal dan nonton video lagi ... Makin kesini makin susah ... Group penghasil uang tiktok bubar ... Mohon kembalikan seperti dulu ...,Negatif
Aplikasi seru dan bagus...,Positif
Aplikasi seru banget,Positif
"Ihh enak banget bisa bikin video bisa nonton semua bisa aku kasih......., bintang lima?????????????????????????????????????????????",Positif
"HALO Gan, gimana pihak tiktok, masak mau penarikan saldo Tidak juga masuk dari kemarin padahal Saya lagi butuh banget, Tolong dong kejelasan, Susah payah undang orang, tapi giliran mau penarikan saldo tidak masuk2 tolong perbaiki lagi, supaya pengguna tidak kapok, Cuma nonton orang joget enggak jelas.",Negatif
"Mantap video keren banget,????? Apa lihat lihat emang bagus kok",Positif
Sumpah aplikasi jelek banget Tapi bohong😂,Positif
Aplikasi bagus bangan kalian harus download sekarang juga,Positif
Bagus aplikasi sangat menyukai jadi saya,Positif
Saya kesal dan kecewa dah malas instal tiktok lagi.sudah nonto selalu eror.kalo pun bisa di tonton poin  semakin lama semakin sedikit tidak sesuai sama kuota yang kita habiskan buat nonton. Auto uninstall aja dari pada bikin pusing...,Positif
"Aku kasih bintang 5 karena...............................................................,.............................................................................................................................................................................banyak video bagus,keren pokok",Positif
"Tiktok adalah platform video live streaming sosial di mana Broadcaster mendapatkan sarana untuk mengelola dan mengembangkan bisnis. Tempat bertemu orang baru, pamer banyakat, dan mendapatkan teman dari seluruh dunia Kode undangan yang paling banyak dipakai member Tiktok ⒼⒷⓏ③ⓏⓈⓋⓌⓋⓍⓎⓎ❸",Positif
Yeay Aplikasi Tiktok bisa jadi penghasilan uang dengan menonton video saja sudah terbukti membayar,Negatif
Aplikasi super seru banget  ...,Positif
Aplikasi yang sangat pasti pasti dapat hadiah uang cukup nonton video aja ...,Positif
Ini bagus banget kalian wajib download kenapa lihat ke bawah,Positif
Bagus banget njrotttt apa? Kan emg bagus...,Positif
Aplikasi sangat menghibur dan bagus Apa lihat kebawah sudah dibilang bagus...,Positif
Aplikasi mantap banget Ayo yang belum download aplikasi download sekarang,Positif
Apalikasi bagus banget wajib download ...,Positif
Terlalu ada bu Sri download aja kalian ??????????????????????????????????????????????????????????????????????????????????????? ?? ? ?????????? ? ?? Kenapa lihat lihat kan sudah ku suruh download,Positif
Aplikasi bagus banget ? Apa lihat² 😑,Positif
"Tolong ya video giveaway atau bagi2 uang di blokir aja ,makin banyak aja orang yang jadi pengemis, sama komentar dihilangkan aja biar ngga ada netizen yang jahat komen biar ngga bikin malu sama tulisan busuk netizen,demi nama baik di Indonesia",Negatif
"kalau emang aku ada tidak tertarik sm tagar di konten orang, ya jangan dimasukin lagi. aku sudah blok org yang pake tagar itu. tapi kenapa yang lain masuk? tiktok kenapa sih? aku ga suka kapal itu ya jangan dimasukin lagi ke fyp.",Negatif
Bagus banget aplikasi aku suka ...,Positif
Bagus banget  kalian sudah download ini belum kenapa lihat ke sini kan sudah bilang bagus nah ngerti dah,Positif
"Untuk developer, ini kenapa ya akhir akhir ini tiktok sering lag banyak pengguna lain juga yang merasakan hal ini . Jika ini merupakan kesalahan teknis tolong diperbaiki supaya kami bisa man seperti kemarin, melihat Video video tiktok lagi. Terimakasih",Negatif
Aplikasi ini bagus banget????????...,Positif
"Tiktok bisa sampai jutaan bonus,suka banget pakai aplikasi tiktok, ⒼⒷ⑧ⒷⓎⒼ⑨ⓇⓏⓍⓎⓈ④ pakai kode,supaya dapat bonus setiap hari, aplikasi aman tahun 2021",Positif
"Jangan iri jangan iri, jangan iri dengki. Yok mari pakai ini 🅕̣̣̣❻̣̣̣🅟̣̣̣🅐̣̣̣❽̣̣̣🅢̣̣̣❽̣̣̣❻̣̣̣🅜̣̣̣🅧̣̣̣🅨̣̣̣🅣̣̣̣🅖̣̣̣ banyak bonus. Buruan klaim sebelum kehabisan",Positif
Aku suka banget sama tiktok...,Positif
"Bacot aplikasi tai misi sudah dilakukan tapi tidak bisa anjing,🗿?? Tapi bohong Hayuk🗿👍",Positif
asik dapat koin dari Tiktok 10000k .. Bisa diuangkan loh guys..No Hoax.... 🅶🅱🆉❸🆉🆂🆅🆆🆅🆇🆈🆈❸ pakai kode undangan itu di tambah lagi koin  20000k.,Positif
"Bagus aplikasi, buat yang masih dibawah umur, sebaik bisa melihat konten yang memang seumuran,buat para orang tua juga tetap diawasi anak-anak biar ngga kebablasan. banyak konten yang mendidik di tiktok ini, mulai dari pendidikan, memasak, pengetahuan,banyak pokok,jadi kita juga harus pintar...",Positif
Bagus banget Kalian harus pu aplikasi ini karna aplikasi ini bisa buat hiburan di saat kalian lagi banyak banget pikiran apalagi buat kalian yang kuliah bisa buat nambah-nambah uang saku kalian karna aplikasi ini bisa menghasikan uang.,Positif
Aplikasi ini sangat bagus buruan instal sekarang ...,Positif
Aplikasi buruk sama tidak seru...,Negatif
Wow bagus banget...,Positif
Bagus banget???????????? kenapa lihat kebawah kan uda kubilang,Positif
Aplikasi sangat bagus kenapa lihat bawah,Positif
Aplikasi seru kenapa lihat ke bawah kan sudah aku bilang Aplikasi bagus banget,Positif
Bagus apa lihat2 sudah ku bilang bagus,Positif
Bagus dan sulit untuk dilupakan sampe sekarang ini juga memiliki luas sebesar Rp yang mau di follow rt aja ya kak untuk nomor masih di bawah pimpinan DPR ri yang tertulis di kecamatan tanjung priok sebagai pecahan planetisimal,Positif
Aplikasi bagus banget...,Positif
Wah aplikasi bagus banget kenapa lihat lihat kebawah dah di bilang bagus,Positif
Aku suka tiktok ini ada BTS ARMY aku mau download tiktok seru,Positif
Aplikasi bagus banget ...,Positif
hey buat Dani yating kalo ada cewek2 yang sebarin aurat ya tidak perlu dilihat sama tidak usah di follow ya cari yang lain nanti video cewek2 yang enggak nutupin aurat ya lama2 ya hilang,Positif
"Aplikasi lawak, saya baru saja lihat YouTube aplikasi penghasil uang ketemu  ""tiktok"" kata legit, membayar, no scam. Ketaan TIDAK saya baru download pakai link dan daftar suruh masukin kode dapat Rp 7000 enggak bisa2 malah dibilang penipuan kontrol, maksud  gimana saya aja main tiktok.",Positif
"Ini aplikasi tiktok keren habis kalian harus download ini, di sini banyak sekali video lucu yang sedang Trend sehingga menonton pun sangat terhibur. ",Positif
Makasih tiktok aku sekarang jadi seleb makasih ya Halu gede banget 🤣🤣🤣🤣 Btw aplikasi ini menghibur kalian wajib download 👍👍🙏🙏🙏,Positif
"aplikasi ini sanggat keren bisa nonton video??????????????'''#/66*, apa lihat lihat bawah ada pocong kah kan sudah ku biang aplikasi ini bagus",Positif
APLIKASI YANG SANGAT BAGUS...,Positif
Aplikasi cakep banget,Positif
Wow bagus banget ya??????????????????????????....?....?....?????????????????????????????????????????????????????????????????????????????????????? Aku tidak akan kaya orang itu,Positif
aplikasi bagus banget fiks pokok kalian harus download?,Positif
"Makin lama tiktok makin kayak sampah, kenapa masukin kode enggak bisa, gagal mulu, keluar penipuan mulu, emang nipu darimana Malah sekarang masukin kode enggak bisa hilang Kan lumayan uang 7000 buat nambah",Negatif
"Tukang bangunan yaitu kerja padang plafon dan padang keramik dan pemasangan batu bata pada dinding bangunan terus pokok banyak pengalaman di bidang bangunan juga pengalaman lain sebagai Tukang ojek , kerja tani di ladang , pengalaman bola voli, pengalaman melukis , pengalaman di laut mencari ikan ...",Positif
Aplikasi bagus banget,Positif
Aplikasi ini Bagus...,Positif
jelek banget Tapi bohong,Positif
Bagus banget Apa lihat lihat gua ganteng ya😜,Positif
Aplikasi bagus banget sudah tau aplikasi bagus masih aja lihat ke bawah🤗,Positif
Aplikasi bagus banget 👍👍👍👍👍,Positif
Aplikasi yang sangat luar biasa banyak informasi dan bermanfaat cepat saji cepat viral juga dapat uang tunai yang lumayan.. Walaupun saya beri bintang 5 bukan berarti aplikasi ini tidak pu kekurangan.. Kekuranga adalah.. 1 Apabila kode undangan belum di isi maka pada hari esok hilang,Positif
Saya suka tiktok kalian harus Download aplikasi ini. kenapa kakak cantik kepo ya,Positif
"Terimakasih tiktok, aku mendapatkan ilmu ilmu baru yang aku dapatkan dari tiktok, banyak orang yang membagi pengalaman mereka, cerita kehidupan mereka, ada juga yang memberi tips² kehidupan dengan baik, terimakasih sudah menciptakan aplikasi tiktok🥰❤️",Positif
Pak ini bagus...,Positif
"Bismillah.. Jangan Download aplikasi ini.., jika kamu tidak bisa mengontrol dirimu. Di aplikasi ini, banyak konten konten negatif. Ketahuilah Setiap Raja mempui larangan, dan larangan Allah adalah, hal hal yang diharamkan . Awal awal tidak dosa, tapi lama kelamaan mendekati dosa.",Negatif
"Aplikasi penghasil uang no 1 didunia modal duduk sambil nonton video disini tempat, suda jutaan orang membuktikan dibayar cepat penarikan uang, upload video, like, share semua dapat uang, jangan sampai kalian lewatkan uang tambahan gunakan ini poin tambahan G̲̅B̲̅8̲̅B̲̅Y̲̅G̲̅9̲̅R̲̅Z̲̅X̲̅Y̲̅...",Positif
tidak bagus,Negatif
Bukan cuman hiburan tapi banyak manfaat yang bisa kita ambil dari tiktok ini............banyak video edukasi yang bisa jadi inspirasi yang bermanfaat untuk kita. aku dukung aplikasi ini sukses tiktok,Positif
"Bagus banget,,,,,,,,,,,,,,,,,,.............................................................................................................................................................................................. .............................. kenapa lihat bawah kan tadi aku sudah bilang...",Positif
"Hai admin, mungkin boleh di turunin dikit resiko di tiktok, soal banyak akun teman teman di tiktok, yang postingan biasa saja, ke blokir permanen, oleh sebab ada yang melaporkan, mungkin sebaik meskipun banyak yang melaporkan akun, sebelum di blokir di cek dulu lah konten, kasian dah banyak...",Negatif
Hei kalau bikin Aplikasi yang bener ini enggak. Kalian  ya dari pihak tiktok seharus harus Lebih memuaskan para pelanggan kalian kalian  juga harus selalu berpartisipasi supaya kalian terus maju. Coba lihat like mereka selalu saja meningkatkan terus aplikasi mereka supaya para tamu para tamu di ...,Negatif
"Tiktok kenapa? Hadiah undang teman kenapa ""tidak dapat memproses""? Juga, kenapa misi menonton video saya hilang? Kenapa cuma ada misi undang teman? Dipikir saya mudahkah cari pengguna baru? Susah buat orang yang tidak terkenal kaya saya . Misi nonton video balikin lah, dikit"" juga lumayan walaupun cuman...",Negatif
Terpaksa saya turunin bintang. Koin muncul sebentar pas nonton malah macet di 3 menit. yang parah lagi  koin misi nonton bisa hilang sendiri. Penarikan sampai sekarang belum cair cair juga . Kecewa banget,Negatif
"Tolong dong ramein tiktok saya jefranw ? Ku ingin jadi seleb, yang followers banyak. Tolong yah sering""in video saya masukin fyp. Biar pada tau akun saya.terimakasih tiktok🙏💕, i love you so much ❤✨",Positif
Aku suka banget aku download ini di hp aku semua bagus banget,Positif
"Aplikasi ini sangat cocok untuk mengisi waktu santai. Tolong tambahkan fitur dark mode untuk android juga, supaya kami lebih man seperti Instagram atau Twitter. Yang dimana mereka juga menggunakan fitur dark mode. Terima kasih, semoga TikTok merespons ulasan saya.",Positif
Aplikasi  bagus emang bagus kenapa,Positif
"Maaf admin yang terhormat, kenapa sekarang susah memasukan kode undangan? Jangan di persulit biar pengguna tiktok semakin banyak, kalah bersaing seperti SNACK VIDEO",Negatif
"Aplikasi sangat bagus Ini bisa di buat hiburan Aku suka banget Aplikasi ini juga bisa menghasilkan uang , saya suka banget sama tiktok dan saya sudah mengumpulkan uang di tiktok dan bisa tarik saldo aku kasih bintang 5 karena aplikasi ini sangat bagus Terimakasih yang bisa ciptakan aplikasi ini Makasih",Positif
"kesal banget sudah install aplikasi ini. Cuma menghabiskan kuota. Iming"" ada event undang temen tapi masukin kode aja susah error trus. Aplikasi penipu.",Negatif
Sumpah bagus banget game ini ........?Kenapa lihat ke bawah?,Positif
Aplikasi terbaik yang pernah ada memang benar terbukti bisa menghasilkan uang mantap.,Positif
"Masa saya bangun tidur pagi² akun Tiktok saya tiba-tiba hilang padahal baru buka hp terus pas saya download ulang mau daftar kok pas masukin tanggal lahir ada tulisan "" maaf anda tidak memenuhi syarat untuk Tiktok.... Tapi terima kasih telah tertarik"" itu apaan? Coba tolong dibenerin",Positif
LUAR BIASA...,Positif
aplikasi ini bagus sekali kenapa lihat lihat kepo,Positif
Please dong pulihkan akun aku Kasih aku satu kesempatan buat hapus2 video ditiktok aku.. tidak tahu kenapa akun tiba2 diblokir tidak jelas banget si aplikasi . akun aku juga digembok padahal.. pulihkan dulu baru aku kasih bintang 5 Awas aja data2 aku disalahgunakan,Negatif
Aplikasi ini bagus bagus banget kenapa lihat ke bawah kan gua sudah bilang bagus-_-,Positif
"Tiktok ada apa yah? Kok semua video saya tiba-tiba di hapus sepihak? Kata melanggar panduan komunitas tapi kenapa yang di privasi pun kena imbas? Saya sudah email tapi belum ada respon. Banding sudah di ajukan, konten di pulihkan tapi sampai sekarang video saya masih terhapus. Tolong dong tiktok.",Negatif
"Untuk aplikasi ini, Saya baru beli coin 350 tapi tidak masuk coin, Untuk aplikasi Tiktok tolong perbaiki lagi untuk pembelian coin , Kami telah rugi 75k",Negatif
Aplikasi ini sangat bagus kalian harus download aplikasi...,Positif
Aplikasi bagus banget kenapa lihat².,Positif
"kenapa sih kalo scrol kebawah nemu ini, aplikasi bagus baget apa lihat² kan dah bilang bagus,buat apa sih begitu buat apa,kau pikir bagus, kagak😭🗿",Positif
"Halo admin TikTok, kenapa aplikasi TikTok saya sudah beberapa hari ini tidak ada misi menonton video selama 30 menit ? Padahal saya tidak pernah melakukan kecurangan pada aplikasi ini. Yang pernah saya lakukan yaitu mereset factory ponsel karena ada masalah di ponsel dan setelah itu saya login..",Negatif
BAgUs 🤬 😡 Apa lihat orang dibilang bagus💔,Positif
"Kenapa isi fyp saya video sama terus?? saya pu 3 akun tetapi tetap sama saja? itu juga video orang luar terus saya juga sudah melakukan beberapa cara tetapi masih tetap tidak bisa, dan saya juga sudah uninstall dan install balik masih saja tidak bisa,kenapa tiktok???? tolong perbaiki secepat...",Negatif
Aplikasi ini bagus banget,Positif
Aplikasi  sangat seru? Napa lihat lihat🗿,Positif
Bagus aplikasi bagus apa lihat lihat ingin tak tampok😈,Positif
"Aplikasi ini sangat besar dalam penggunaan paket data saya, saran untuk pengembang aplikasi ini tolong tambahkan setting resolusi layar dimulai dari 144p sampai 4K mungkin sampai 8K biar beberapa video tidak selalu tinggi resolusi layar dan bisa diatur tinggi rendah resolusi layar.",Positif
Aplikasi bagus banget seriusan enggak di bohongin Di bilangin bagus malah ngelihat kebawah,Positif
Mau ta kenapa point nonton video jadi hilang trus saya sudah berhasil 1 undang teman yang download tapi kayak gak nambah reward / uang / point' apapun ...apa yang salah ya ?,Positif
Saya ingin protes kenapa setiap saya berkomentar positif selalu mendapat blokir sementara ini maksud apaan sih dan aku ha memposting video yang direkam layar dan ha menunjukkan tutorial tapi kenapa dianggap melanggar komunitas?yang lain juga memposting video di rekam layar tapi tidak terblokir,Negatif
APLIKASI INI JELEK KARENA banyak KAUM PEREMPUAN YANG MENYEBAR AURAT YANG HARUS DITUTUP,Negatif
Aplikasi bagus banget apa lihat ke bawah sudah gue bilang bagus,Positif
woi siapa si pembuat aplikasi tiktok aplikasi bagus banget,Positif
"GBHNGNVMAPYTT Masukan kode yang di dalam kurung ini untuk pengguna yang baru instal tiktok,di jamin bisa dapat 120.000 cash,untuk pengguna baru",Positif
Aplikasi ini bagus sekali....,Positif
Tiktok buat saya terkenal wajib download  kenapa masih lihat bawah,Positif
aku nyesel banget pilih aplikasi ini Tapi bohong aplikasi ini bagus banget,Positif
Aplikasi ini sangat bagus,Positif
Aplikasi bagus buat menghibur bila gabut donwload aja tiktok sangat sangat bagus kenapa lihat lihat ke bawah kan sudah di bilang bagus,Positif
Halo nama saya asep,Negatif
"Jujur saya pengguna tiktok yang pasti setiap hari buka, tapi tolong tiktok pembatasan karakter comment itu jangan dikit banget, kalau 200 doang lu nyusahin orang hidup untuk mempaikan sesuatu, tolong tambah minimal ya jadi 500 karakter di ini aplikasi PlayStore ini, dan tolong saya sumpah ...",Negatif
"Kenapa akun saya di ban, padahal sudah mau 100 followers gua sudah follow banyak orang dengan gampang kau ban, tolong untuk pihak tiktok segera mengembalikan akun saya Nama akun Areli|Evan. Tolong untuk pihak tiktok mengembalikan akun saya, saya sudah memai semua aturan, sekali lagi mohon kembalikan ...",Positif
Aku suka sama tiktok aplikasi bagus banget...,Positif
ini jelek canda ?????????????????????????????????????????????????? kenapa lihat kebawah kan kata aku bercanda,Positif
"Dulu saya sepakat anak saya aktif di tiktok, anak bisa mengembangkan banyakat dan imajinasi disini. Tapi sekarang, rasa ingin saya hapus aja aplikasi. Sama sekali enggak pantas untuk semua kalangan. banyak konten porno. Sudah saya laporkan, tapi tanggapan malah ""tidak melanggar panduan komunitas kami"".",Negatif
"Ada bug. Barusan saya salin link video, terus saya kirim ke temen, nah pas temen saya buka video  dari link yang saya salin tadi, video beda dari video awal yang link saya salin tadi. Mohon untuk segera di perbaiki. Karena agak annoying.",Negatif
"Umm hai, kenapa ya sudah 3 hari ini lag? Video  tidak bisa di putar padahal jaringan internet saya baik baik saja, tolong di perbaiki ya^^",Positif
"Aplikasi tiktok ini menghibur banget sih, pas lagi bosen"" gitu buka aplikasi tiktok ini terhibur dan jadi tidak bosen lagi, apa lagi pas tidak ada mood untuk beraktifitas buka apikasi tiktok mood jadi balik lagi. Pokok tiktok terbaik . Tapi aku saranin untuk kalian jangan keseringan buka tiktok,main hp",Positif
"Aplikasi super duper bagus,ini benar benar menghibur,kalau misal sedang sedia kalian wajib download ini dijamin bahagia,banyak konten-konten bermanfaat,menghibur,dan pasti ada yang horor juga dong.Pokok kalau kalian download enggak akan kecewa",Positif
"Enggak jelas system panduan komunitas, kata enggak boleh upload yang berbaur kejahatan, kekerasan dan konten sexsual. tapi banyak  yang masih banyak konten yang menonjolkan t*t*k dan m*m*k masih aman2 aja.kok gak dihapus, gua yang upload video biasa2 aja di hapus dan dibanned kontol. Konsisten dong.",Negatif
Tolong bantu reset kata sandi saya . Hapus email dan no hp yang terkait di akun saya . sebab akun saya telah di retas oleh orang lain . dan sekarang saya tidak bisa login . tolong bantuan  . semoga ada tanggapan . username PITEKLUBPI,Positif
Hallo admin tiktok saya sangat menyukai aplikasi ini saya sudah aktif di tiktok dan Alhamdulillah hasil yang aku dapat kan banyak sekali mulai dari like video banyak follower banyak aku ingin banget verified,Positif
"Tolong ya saya sudah pencet not interested ke beberapa video tapi makin banyak yang muncul di fyp saya. Tolong buat command ""not interested."" Itu berguna. Btw akun saya qiyaaw",Negatif
SEMOGA POSTINGANKU FYP TERIMAKASIH,Positif
Jujur ya kesel banget kenapa sih tiktok setiap aku login akun pasti di blok sudah 4 akun saya di blok saya sangat kecewa padahal dulu akun saya baik baik saja tapi kenapa sekarang seperti ini padahal saya baru login di akun saya saya belum buat pelanggaran apa apa tapi langsung di blok,Negatif
Halo devoloper tiktok... mohon saran.. kalau boleh sih.. misi putar point di perlancar dong sedikit sedikit.. jangan cuma 7 hari aja.. agar pada betah akun ... enggak pindah pindah... sekian terimakasih.. semoga dapat di kabulkan.. amiiin.,Positif
Admin TikTok yang SANGAT tidak kompeten saya rasa. kerjaan  ngeBlokir akun akun yang dilaporin pihak tertentu dengan alasan melanggar panduan ... harus admin TikTok bisa membedakan mana konten yang melanggar mana konten yang tidak disukai karena selera orang... karna dilapangan banyak sekali konten.,Negatif
"Woyy Admin tiktok seluruh jabodetabek tolong dong masukin ke fyp/untuk anda konten-konten saya ke orang lain bolangg_cibuburjaktim.98 saya sudah main tiktok dari 2015 sampe sekarang konten-konten saya jarang banget masuk fyp/untuk anda konten-konten saya ke orang lain, selagi tolong masukin ya.",Positif
Sip. Dulu agak gimana gitu pakai tiktok. enggak mau download. Setelah coba terta malah lebih banyak edukasi trik dll yang bermanfaat yang ditampilkan di fyp. Thanks tiktok untuk inovasi luar biasa,Positif
Bagus banget Game pokok seru ...,Positif
Saya merasa terhibur dengan ada tiktok kadang saya penat bosan dengan pekerjaan yang melelahkan saya hibur diri saya dengan buka tiktok sekaligus memperbanyak teman dan saudara😊,Positif
"Aku suka aplikasi tiktok karena tempat curahan hatiku,,selain itu menambah banyak teman dan saudara,,,terima kasih tiktok",Positif
Kecewa sama developer tiktok bikin system tidak bisa bedakan akun real atau palsu Yang real susah masukin kode lebih baik besarkan coin kehadiran sama koin nonton aja jangan revisi kalau tidak bisa bedakan mah,Negatif
Aku senang bermain. Tiktok ini lah hiburan yang tidak membosankan selalu ada versi terbaru untuk filter terus nambah pengalaman juga,Positif
"Bagi yang enggak ada tiktok koin, lu pakai akun alamat Amerika tidak, jadi enggak ada koin...",Positif
"Kenapa saya tidak bisa memasukan kode undangan, padahal saya kan pengguna baru, pertama keluhan adalah tidak lolos control penipuan, keluhan kedua kesalahan jaringan harap coba lagi. Itu saja keluhan. Mohon diperbaiki dong pihak tiktok",Negatif
Kok enggak ada tanda koin ya? Pertama tama ada lama lama hilang gimana sih padahal sudah ada koin 😭,Negatif
"Jelek sekali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,...................................................................??????????????????????????????????????????????????????????????????????????????????????????????????????????tapi bohong hayuk",Positif
Jelek banget dong tapi kembali terus tolong ya yang nyiptain tiktok tolong di perbaiki ok,Negatif
"Aku mau ta kok, tidak bisa aku pakai kaya kaset kalo dibuka",Positif
