Nama,Tanggal,comment,Label
Aljabbar Abyan,7 Agustus 2021,Semoga tiktok tidak update lagi kouta saya nanti habis kalau update terus kenapa kau babi dah saya bilang sana lu dasar,Positif
Setiawati Mukti,8 Agustus 2021,Aplikasi bagus kawan silahkan di download dengan G A G 6 E T L U 9 X Y T X silahkan dipake kode kawan untuk dapat tambahan poinmu ...,Positif
Rafly Anthoni,7 Agustus 2021,"Please lah tiktok Akun ku jangan di takedown cuma karena background  yang agak vulgar anime di takedown lama banget sudah nyiapin konten yang gak melanggar tapi takedown  lama banget jadi numpuk semua ada yang lain sudah pada lupa,sedangkan kreator lain pamer bikini dan hal lain ...",Positif
_Wafi Kusuma 7C,7 Agustus 2021,Jelek banget tapi bohong hayuk,Positif
Ony Hartono,7 Agustus 2021,"saya pengguna dan penikmat aplikasi tiktok sangat senang karena lucu lucu,menghibur dan membuat hati saya gembira,hilangkan kepenatan dan kejenuhan beraktivitas di hari hari ini,terutama saat pandemi Covid 19 sekarang ini,menghadapi masa PSBB,dilanjutkan dengan PPKM yang membuat gabut,hati galau",Positif
Tiktok GBDPPMNGMPYTG,7 Agustus 2021,Keren banget program aplikasi tiktok makin banget bagus sekali.jadi makin menyukai saya. selain dapat uang makin bak dan terhibur jadi enjoy banget dengan aplikasi ini ...,Positif
Angelina Marsya,7 Agustus 2021,Pokok bagus keren kenapa lihat ke bawah,Positif
Mikaila Aila,8 Agustus 2021,Aplikasi bagus benget kenapa lihat di bawah kan sudah dibilang bagus,Positif
Alif Mirza,8 Agustus 2021,Bagus banget,Positif
Ghoz19n,6 Agustus 2021,"Masukan untuk tiktok mungkin bisa jadi pertimbangan, Tiktok sekarang sudah menjadi aplikasi yang dimiliki setiap orang, Masukan dari saya Adakan Mode VN di Kolom Komentar, jadi kita berkomentar tidak lagi menggunakan keyboard/papan ketik yang berupa huruf, akan tetapi ada 2 model 1.Voice, 2.Huruf.",Positif
Rizky Ramadian,7 Agustus 2021,bagus banget apa lu lihat lihat saya kan saya sudah BILANG APLIKASI BAGUS,Positif
Meysha Ulfara,7 Agustus 2021,Aplikasiny sangat bagus?????????????????????????????? tapi bohong canda emang bagus aplikasi,Positif
Abdul Kholiq08,8 Agustus 2021,Aplikasi ini sangat bagus dan menarik apa lihat² kebawah kan sudah di bilang bagus😁,Positif
afree Fafaros099,6 Agustus 2021,Bagus banget aplikasi aku suka banget sudah ku bilang bagus masih aja lihat²😠😠,Positif
apa kobilang,8 Agustus 2021,Bagus 👍,Negatif
Alya Roslaini,8 Agustus 2021,"Akun tiktok aku dihapus selama gara-gara spam komen, padahal aku spam komen buat kasih info yang baik ke orang2 biar tidak kemakan hoax dan berita lama. Tiktok emang enggak adil. tiktok id aku  milkyxly. Semoga akun aku bisa kembali, soal bak kenangan di akun itu, amin",Negatif
Vivisiel,8 Agustus 2021,"Tolong kepada pihak tiktok, hp oppo a3s Selalu saja lag, Dan setiap saya buat konten di tiktok lalu saya post.. Pasti selalu Layar hitam semua... Dan saya waktu itu uninstall terus install lagi Malah Crash.. Layar saya hitam semua dan ""tiktok tidak dapat di instal,""",Negatif
Abdulla Salim,8 Agustus 2021,"Apakah tiktok lagi gangguan penarikan saldo? Kenapa belum juga masuk kerekening saya ya? Padahal sudah 1x24 jam, mohon kepada pihak tiktok perbaiki lagi penarikan saldo supaya lebih cepat biar gak nunggu sampe berhari hari ya Terima kasih... Mohon bantuan ya tiktok",Positif
Saka Saka,7 Agustus 2021,PT tiktok aneh.. disuruh ngundang... tapi enggak bisa ngundang.. kalau bangkrut mah sudah tutup aja.. di suruh ngundang tapi enggak bisa.. hilangin aja undangan.. kasih banus aja buat yang nonton.. besarin bonus ..apa lah enggak jelas,Negatif
Agita Ismala Putri,7 Agustus 2021,Aplikasi bagus banget,Positif
Anak Epep,7 Agustus 2021,"Aplikasi lawak, saya baru saja lihat YouTube aplikasi penghasil uang ketemu  ""tiktok"" kata legit, membayar, no scam. Ketaan TIDAK saya baru download pakai link dan daftar suruh masukin kode dapat Rp 7000 enggak bisa2 malah dibilang penipuan kontrol, maksud  gimana saya aja main tiktok.",Negatif
erin erin destiani,6 Agustus 2021,Aplikasi ini seru banget kalian harus download,Positif
Uus Simala,7 Agustus 2021,Saldo 2jt aku selalu gagal buat di tarik.. Hp xiomi ku dah enggak bisa masukin referal dan nonton video lagi ... Makin kesini makin susah ... Group penghasil uang tiktok bubar ... Mohon kembalikan seperti dulu ...,Negatif
gari nyawang,5 Agustus 2021,Aplikasi seru dan bagus...,Positif
Sarlota Hadju,7 Agustus 2021,Aplikasi seru banget,Positif
yaya 1234,6 Agustus 2021,"Ihh enak banget bisa bikin video bisa nonton semua bisa aku kasih......., bintang lima?????????????????????????????????????????????",Positif
Ensiklopedia Musik,8 Agustus 2021,"HALO Gan, gimana pihak tiktok, masak mau penarikan saldo Tidak juga masuk dari kemarin padahal Saya lagi butuh banget, Tolong dong kejelasan, Susah payah undang orang, tapi giliran mau penarikan saldo tidak masuk2 tolong perbaiki lagi, supaya pengguna tidak kapok, Cuma nonton orang joget enggak jelas.",Negatif
Danish Bagasditya Pranaja,7 Agustus 2021,"Mantap video keren banget,????? Apa lihat lihat emang bagus kok",Positif
Nenek Uti,7 Agustus 2021,Sumpah aplikasi jelek banget Tapi bohong😂,Positif
Alya Dwi rahmadania,8 Agustus 2021,Aplikasi bagus bangan kalian harus download sekarang juga,Positif
kode tiktok GBDPPMNGMPYTG,2 Agustus 2021,Bagus aplikasi sangat menyukai jadi saya,Positif
Fah Ri,6 Agustus 2021,Saya kesal dan kecewa dah malas instal tiktok lagi.sudah nonto selalu eror.kalo pun bisa di tonton poin  semakin lama semakin sedikit tidak sesuai sama kuota yang kita habiskan buat nonton. Auto uninstall aja dari pada bikin pusing...,Positif
Afra Naila,7 Agustus 2021,"Aku kasih bintang 5 karena...............................................................,.............................................................................................................................................................................Bak video bagus,keren pokok",Positif
Pengguna Google,8 Agustus 2021,"Tiktok adalah platform video live streaming sosial di mana Broadcaster mendapatkan sarana untuk mengelola dan mengembangkan bisnis. Tempat bertemu orang baru, pamer bakat, dan mendapatkan teman dari seluruh dunia Kode undangan yang paling bak dipakai member Tiktok ⒼⒷⓏ③ⓏⓈⓋⓌⓋⓍⓎⓎ❸",Positif
Bobbi Henning,7 Agustus 2021,Yeay Aplikasi Tiktok bisa jadi penghasilan uang dengan menonton video saja sudah terbukti membayar,Negatif
nurul marlian19,4 Agustus 2021,Aplikasi super seru banget  ...,Positif
Tri Arga,7 Agustus 2021,Aplikasi yang sangat pasti pasti dapat hadiah uang cukup nonton video aja ...,Positif
Dede Rian,6 Agustus 2021,Ini bagus banget kalian wajib download kenapa lihat ke bawah,Positif
Gaming nisa,6 Agustus 2021,Bagus banget njrotttt apa? Kan emg bagus...,Positif
Vio Lina,5 Agustus 2021,Aplikasi sangat menghibur dan bagus Apa lihat kebawah sudah dibilang bagus...,Positif
Tom Dhioks,4 Agustus 2021,Aplikasi mantap banget Ayo yang belum download aplikasi download sekarang,Positif
Deni Alfian,5 Agustus 2021,Apalikasi bagus banget wajib download ...,Positif
Etik Zuliana,4 Agustus 2021,Terlalu ada bu Sri download aja kalian ??????????????????????????????????????????????????????????????????????????????????????? ?? ? ?????????? ? ?? Kenapa lihat lihat kan sudah ku suruh download,Positif
Jenny Kaunang,6 Agustus 2021,Aplikasi bagus banget ? Apa lihat² 😑,Positif
Lisa maiyuli8,7 Agustus 2021,"Tolong ya video giveaway atau bagi2 uang di blokir aja ,makin bak aja orang yang jadi pengemis, sama komentar dihilangkan aja biar ngga ada netizen yang jahat komen biar ngga bikin malu sama tulisan busuk netizen,demi nama baik di Indonesia",Negatif
Ayu oktavia Ningrum,7 Agustus 2021,"kalau emang aku ada tidak tertarik sm tagar di konten orang, ya jangan dimasukin lagi. aku sudah blok org yang pake tagar itu. tapi kenapa yang lain masuk? tiktok kenapa sih? aku ga suka kapal itu ya jangan dimasukin lagi ke fyp.",Negatif
Saili Mm,4 Agustus 2021,Bagus banget aplikasi aku suka ...,Positif
Eka Susilawati,3 Agustus 2021,Bagus banget  kalian sudah download ini belum kenapa lihat ke sini kan sudah bilang bagus nah ngerti dah,Positif
Rezky Salman,5 Agustus 2021,"Untuk developer, ini kenapa ya akhir akhir ini tiktok sering lag bak pengguna lain juga yang merasakan hal ini . Jika ini merupakan kesalahan teknis tolong diperbaiki supaya kami bisa man seperti kemarin, melihat Video video tiktok lagi. Terimakasih",Negatif
Muhammad Fajar Ananda Putra,28 Juli 2021,Aplikasi ini bagus banget????????...,Positif
Indra Couple,26 Juli 2021,"Tiktok bisa sampai jutaan bonus,suka banget pakai aplikasi tiktok, ⒼⒷ⑧ⒷⓎⒼ⑨ⓇⓏⓍⓎⓈ④ pakai kode,supaya dapat bonus setiap hari, aplikasi aman tahun 2021",Positif
Cahya Dan Xobirin,3 Agustus 2021,"Jangan iri jangan iri, jangan iri dengki. Yok mari pakai ini 🅕̣̣̣❻̣̣̣🅟̣̣̣🅐̣̣̣❽̣̣̣🅢̣̣̣❽̣̣̣❻̣̣̣🅜̣̣̣🅧̣̣̣🅨̣̣̣🅣̣̣̣🅖̣̣̣ bak bonus. Buruan klaim sebelum kehabisan",Positif
Nia Kurnia,2 Agustus 2021,Aku suka banget sama tiktok...,Positif
Muh. Joy Saputra,6 Agustus 2021,"Bacot aplikasi tai misi sudah dilakukan tapi tidak bisa anjing,🗿?? Tapi bohong Hayuk🗿👍",Positif
Nely Kepsek,28 Juli 2021,asik dapat koin dari Tiktok 10000k .. Bisa diuangkan loh guys..No Hoax.... 🅶🅱🆉❸🆉🆂🆅🆆🆅🆇🆈🆈❸ pakai kode undangan itu di tambah lagi koin  20000k.,Positif
Prasasti Kinasih,14 Juli 2021,"Bagus aplikasi, buat yang masih dibawah umur, sebaik bisa melihat konten yang memang seumuran,buat para orang tua juga tetap diawasi anak-anak biar ngga kebablasan. Bak konten yang mendidik di tiktok ini, mulai dari pendidikan, memasak, pengetahuan,bak pokok,jadi kita juga harus pintar...",Positif
Yustina Rika,29 Juli 2021,Bagus banget Kalian harus pu aplikasi ini karna aplikasi ini bisa buat hiburan di saat kalian lagi bak banget pikiran apalagi buat kalian yang kuliah bisa buat nambah-nambah uang saku kalian karna aplikasi ini bisa menghasikan uang.,Positif
Ilham God,16 Juli 2021,Aplikasi ini sangat bagus buruan instal sekarang ...,Positif
Ag Motor,27 Juli 2021,Aplikasi buruk sama tidak seru...,Negatif
Yulia Safitri,14 Juli 2021,Wow bagus banget...,Positif
Alfha Anoit,12 Juli 2021,Bagus banget???????????? kenapa lihat kebawah kan uda kubilang,Positif
*frontal* *2413*,5 Agustus 2021,Aplikasi sangat bagus kenapa lihat bawah,Positif
Raya Arum,5 Agustus 2021,Aplikasi seru kenapa lihat ke bawah kan sudah aku bilang Aplikasi bagus banget,Positif
Baha Rudin,24 Juli 2021,Bagus apa lihat2 sudah ku bilang bagus,Positif
M Trefi Andrian,7 Agustus 2021,Bagus dan sulit untuk dilupakan sampe sekarang ini juga memiliki luas sebesar Rp yang mau di follow rt aja ya kak untuk nomor masih di bawah pimpinan DPR ri yang tertulis di kecamatan tanjung priok sebagai pecahan planetisimal,Positif
Bagas Dwi Nugroho,20 Juli 2021,Aplikasi bagus banget...,Positif
babak bunyak,17 Juli 2021,Wah aplikasi bagus banget kenapa lihat lihat kebawah dah di bilang bagus,Positif
Irwan D'Li,7 Agustus 2021,Aku suka tiktok ini ada BTS ARMY aku mau download tiktok seru,Positif
Kevin Tamba Kevin,2 Agustus 2021,Aplikasi bagus banget ...,Positif
Muhamaddaniel Ramadani,3 Agustus 2021,hey buat Dani yating kalo ada cewek2 yang sebarin aurat ya tidak perlu dilihat sama tidak usah di follow ya cari yang lain nanti video cewek2 yang enggak nutupin aurat ya lama2 ya hilang,Positif
Briliant Reiss0308,5 Agustus 2021,"Aplikasi lawak, saya baru saja lihat YouTube aplikasi penghasil uang ketemu  ""tiktok"" kata legit, membayar, no scam. Ketaan TIDAK saya baru download pakai link dan daftar suruh masukin kode dapat Rp 7000 enggak bisa2 malah dibilang penipuan kontrol, maksud  gimana saya aja main tiktok.",Positif
Walker Bradshaw,6 Agustus 2021,"Ini aplikasi tiktok keren habis kalian harus download ini, di sini bak sekali video lucu yang sedang Trend sehingga menonton pun sangat terhibur. ",Positif
Narasoma Demark,6 Agustus 2021,Makasih tiktok aku sekarang jadi seleb makasih ya Halu gede banget 🤣🤣🤣🤣 Btw aplikasi ini menghibur kalian wajib download 👍👍🙏🙏🙏,Positif
NKF gaming,6 Agustus 2021,"aplikasi ini sanggat keren bisa nonton video??????????????'''#/66*, apa lihat lihat bawah ada pocong kah kan sudah ku biang aplikasi ini bagus",Positif
Azam Alfarizi,18 Juli 2021,APLIKASI YANG SANGAT BAGUS...,Positif
larasati murt,8 Agustus 2021,Aplikasi cakep banget,Positif
Salwa Damayanti,20 Juli 2021,Wow bagus banget ya??????????????????????????....?....?....?????????????????????????????????????????????????????????????????????????????????????? Aku gabakal kaya orang itu,Positif
Rabiatul Adawiyah,11 Juli 2021,aplikasi bagus banget fiks pokok kalian harus download?,Positif
Darius Harasi,6 Agustus 2021,"Makin lama tiktok makin kayak sampah, kenapa masukin kode enggak bisa, gagal mulu, keluar penipuan mulu, emang nipu darimana Malah sekarang masukin kode enggak bisa hilang Kan lumayan uang 7000 buat nambah",Negatif
Ila Borja,7 Agustus 2021,"Tukang bangunan yaitu kerja padang plafon dan padang keramik dan pemasangan batu bata pada dinding bangunan terus pokok bak pengalaman di bidang bangunan juga pengalaman lain sebagai Tukang ojek , kerja tani di ladang , pengalaman bola voli, pengalaman melukis , pengalaman di laut mencari ikan ...",Positif
Dian Ayu,6 Agustus 2021,Aplikasi bagus banget,Positif
Ros Mini,1 Agustus 2021,Aplikasi ini Bagus...,Positif
ALVIS GAMING,30 Juli 2021,jelek banget Tapi bohong,Positif
imam kholifuddin abdul faqih,3 Agustus 2021,Bagus banget Apa lihat lihat gua ganteng ya😜,Positif
Sakinah Maulidah putri,10 Juli 2021,Aplikasi bagus banget sudah tau aplikasi bagus masih aja lihat ke bawah🤗,Positif
Tiara Ilham,6 Agustus 2021,Aplikasi bagus banget 👍👍👍👍👍,Positif
Edo Logam Steell,25 Juli 2021,Aplikasi yang sangat luar biasa bak informasi dan bermanfaat cepat saji cepat viral juga dapat uang tunai yang lumayan.. Walaupun saya beri bintang 5 bukan berarti aplikasi ini tidak pu kekurangan.. Kekuranga adalah.. 1 Apabila kode undangan belum di isi maka pada hari esok hilang,Positif
The lova bellvania,21 Juli 2021,Saya suka tiktok kalian harus Download aplikasi ini. kenapa kakak cantik kepo ya,Positif
Maya Kumala,4 Agustus 2021,"Terimakasih tiktok, aku mendapatkan ilmu ilmu baru yang aku dapatkan dari tiktok, bak orang yang membagi pengalaman mereka, cerita kehidupan mereka, ada juga yang memberi tips² kehidupan dengan baik, terimakasih sudah menciptakan aplikasi tiktok🥰❤️",Positif
Suriati Anwar lubis,26 Juli 2021,Pak ini bagus...,Positif
Muhammad Rizki,18 Juli 2021,"Bismillah.. Jangan Download aplikasi ini.., jika kamu tidak bisa mengontrol dirimu. Di aplikasi ini, bak konten konten negatif. Ketahuilah Setiap Raja mempui larangan, dan larangan Allah adalah, hal hal yang diharamkan . Awal awal tidak dosa, tapi lama kelamaan mendekati dosa.",Negatif
Enjat Cylinder heidelberg,3 Agustus 2021,"Aplikasi penghasil uang no 1 didunia modal duduk sambil nonton video disini tempat, suda jutaan orang membuktikan dibayar cepat penarikan uang, upload video, like, share semua dapat uang, jangan sampai kalian lewatkan uang tambahan gunakan ini poin tambahan G̲̅B̲̅8̲̅B̲̅Y̲̅G̲̅9̲̅R̲̅Z̲̅X̲̅Y̲̅...",Positif
Nurul Hidayat,19 Juli 2021,tidak bagus,Negatif
LADIES ledis,6 Agustus 2021,Bukan cuman hiburan tapi bak manfaat yang bisa kita ambil dari tiktok ini............bak video edukasi yang bisa jadi inspirasi yang bermanfaat untuk kita. aku dukung aplikasi ini sukses tiktok,Positif
hartoyo toyo,1 Agustus 2021,"Bagus banget,,,,,,,,,,,,,,,,,,.............................................................................................................................................................................................. .............................. kenapa lihat bawah kan tadi aku sudah bilang...",Positif
dediYuliawan Official,25 Juli 2021,"Hai admin, mungkin boleh di turunin dikit resiko di tiktok, soal bak akun teman teman di tiktok, yang postingan biasa saja, ke blokir permanen, oleh sebab ada yang melaporkan, mungkin sebaik meskipun bak yang melaporkan akun, sebelum di blokir di cek dulu lah konten, kasian dah bak...",Negatif
Park Jimin,7 Agustus 2021,Hei kalau bikin Aplikasi yang bener ini enggak. Kalian  ya dari pihak tiktok seharus harus Lebih memuaskan para pelanggan kalian kalian  juga harus selalu berpartisipasi supaya kalian terus maju. Coba lihat like mereka selalu saja meningkatkan terus aplikasi mereka supaya para tamu para tamu di ...,Negatif
Eita Xaviera,15 Juli 2021,"Tiktok kenapa? Hadiah undang teman kenapa ""tidak dapat memproses""? Juga, kenapa misi menonton video saya hilang? Kenapa cuma ada misi undang teman? Dipikir saya mudahkah cari pengguna baru? Susah buat orang yang tidak terkenal kaya saya . Misi nonton video balikin lah, dikit"" juga lumayan walaupun cuman...",Negatif
Mama Nisa,7 Agustus 2021,Terpaksa saya turunin bintang. Koin muncul sebentar pas nonton malah macet di 3 menit. yang parah lagi  koin misi nonton bisa hilang sendiri. Penarikan sampai sekarang belum cair cair juga . Kecewa banget,Negatif
zhaky Fathurrozak_Jefran,7 Agustus 2021,"Tolong dong ramein tiktok saya jefranw ? Ku ingin jadi seleb, yang followers bak. Tolong yah sering""in video saya masukin fyp. Biar pada tau akun saya.terimakasih tiktok🙏💕, i love you so much ❤✨",Positif
Muhammad Rohmad,6 Agustus 2021,Aku suka banget aku download ini di hp aku semua bagus banget,Positif
Gladis,7 Agustus 2021,"Aplikasi ini sangat cocok untuk mengisi waktu santai. Tolong tambahkan fitur dark mode untuk android juga, supaya kami lebih man seperti Instagram atau Twitter. Yang dimana mereka juga menggunakan fitur dark mode. Terima kasih, semoga TikTok merespons ulasan saya.",Positif
hafiy azmi,8 Agustus 2021,Aplikasi  bagus emang bagus kenapa,Positif
TIS YANA,7 Agustus 2021,"Maaf admin yang terhormat, kenapa sekarang susah memasukan kode undangan? Jangan di persulit biar pengguna tiktok semakin bak, kalah bersaing seperti SNACK VIDEO",Negatif
Vivi Kuprit,5 Agustus 2021,"Aplikasi sangat bagus Ini bisa di buat hiburan Aku suka banget Aplikasi ini juga bisa menghasilkan uang , saya suka banget sama tiktok dan saya sudah mengumpulkan uang di tiktok dan bisa tarik saldo aku kasih bintang 5 karena aplikasi ini sangat bagus Terimakasih yang bisa ciptakan aplikasi ini Makasih",Positif
Dian Mardiana,5 Agustus 2021,"kesal banget sudah install aplikasi ini. Cuma menghabiskan kuota. Iming"" ada event undang temen tapi masukin kode aja susah error trus. Aplikasi penipu.",Negatif
boombay 1221,3 Agustus 2021,Sumpah bagus banget game ini ........?Kenapa lihat ke bawah?,Positif
Lane Smith,2 Agustus 2021,Aplikasi terbaik yang pernah ada memang benar terbukti bisa menghasilkan uang mantap.,Positif
Jasmine Parahita,29 Juli 2021,"Masa saya bangun tidur pagi² akun Tiktok saya tiba-tiba hilang padahal baru buka hp terus pas saya download ulang mau daftar kok pas masukin tanggal lahir ada tulisan "" maaf anda tidak memenuhi syarat untuk Tiktok.... Tapi terima kasih telah tertarik"" itu apaan? Coba tolong dibenerin",Positif
Abdul Haris,18 Juli 2021,LUAR BIASA...,Positif
Kevin hoiri Insani,2 Agustus 2021,aplikasi ini bagus sekali kenapa lihat lihat kepo,Positif
nira lailatulisa,4 Agustus 2021,Please dong pulihkan akun aku Kasih aku satu kesempatan buat hapus2 video ditiktok aku.. tidak tahu kenapa akun tiba2 diblokir tidak jelas banget si aplikasi . akun aku juga digembok padahal.. pulihkan dulu baru aku kasih bintang 5 Awas aja data2 aku disalahgunakan,Negatif
Alvaro,26 Juli 2021,Aplikasi ini bagus bagus banget kenapa lihat ke bawah kan gua sudah bilang bagus-_-,Positif
Astrid Claudya,4 Agustus 2021,"Tiktok ada apa yah? Kok semua video saya tiba-tiba di hapus sepihak? Kata melanggar panduan komunitas tapi kenapa yang di privasi pun kena imbas? Saya sudah email tapi belum ada respon. Banding sudah di ajukan, konten di pulihkan tapi sampai sekarang video saya masih terhapus. Tolong dong tiktok.",Negatif
Rizky Okta,7 Agustus 2021,"Untuk aplikasi ini, Saya baru beli coin 350 tapi tidak masuk coin, Untuk aplikasi Tiktok tolong perbaiki lagi untuk pembelian coin , Kami telah rugi 75k",Negatif
Zahara daffa Zahara,29 Juli 2021,Aplikasi ini sangat bagus kalian harus download aplikasi...,Positif
valdes mkb,10 Juli 2021,Aplikasi bagus banget kenapa lihat².,Positif
CHEYSAုူးြ့်,6 Agustus 2021,"kenapa sih kalo scrol kebawah nemu ini, aplikasi bagus baget apa lihat² kan dah bilang bagus,buat apa sih begitu buat apa,kau pikir bagus, kagak😭🗿",Positif
Sigit AB,22 Juli 2021,"Halo admin TikTok, kenapa aplikasi TikTok saya sudah beberapa hari ini tidak ada misi menonton video selama 30 menit ? Padahal saya tidak pernah melakukan kecurangan pada aplikasi ini. Yang pernah saya lakukan yaitu mereset factory ponsel karena ada masalah di ponsel dan setelah itu saya login..",Negatif
Aisha N Putri,5 Agustus 2021,BAgUs 🤬 😡 Apa lihat orang dibilang bagus💔,Positif
Rakha Noor,14 Juli 2021,"Kenapa isi fyp saya video sama terus?? saya pu 3 akun tetapi tetap sama saja? itu juga video orang luar terus saya juga sudah melakukan beberapa cara tetapi masih tetap tidak bisa, dan saya juga sudah uninstall dan install balik masih saja tidak bisa,kenapa tiktok???? tolong perbaiki secepat...",Negatif
Syarifudin Syarifudin,6 Agustus 2021,Aplikasi ini bagus banget,Positif
Bunga Tazkiya,31 Juli 2021,Aplikasi  sangat seru? Napa lihat lihat🗿,Positif
damian gendang,6 Agustus 2021,Bagus aplikasi bagus apa lihat lihat ingin tak tampok😈,Positif
36 - Valentino Adrian,30 Juli 2021,"Aplikasi ini sangat besar dalam penggunaan paket data saya, saran untuk pengembang aplikasi ini tolong tambahkan setting resolusi layar dimulai dari 144p sampai 4K mungkin sampai 8K biar beberapa video tidak selalu tinggi resolusi layar dan bisa diatur tinggi rendah resolusi layar.",Positif
Danu samudra samudra,26 Juli 2021,Aplikasi bagus banget seriusan enggak di bohongin Di bilangin bagus malah ngelihat kebawah,Positif
Rika wijaya,6 Agustus 2021,Mau ta kenapa point nonton video jadi hilang trus saya sudah berhasil 1 undang teman yang download tapi kayak gak nambah reward / uang / point' apapun ...apa yang salah ya ?,Positif
nisrin tahta alfina,30 Juli 2021,Saya ingin protes kenapa setiap saya berkomentar positif selalu mendapat blokir sementara ini maksud apaan sih dan aku ha memposting video yang direkam layar dan ha menunjukkan tutorial tapi kenapa dianggap melanggar komunitas?yang lain juga memposting video di rekam layar tapi tidak terblokir,Negatif
