,Label,CleanComment
68,Negatif,halo gin gimana tiktok masak penarikan saldo masuk kemarin butuh banget tolong kejelasan susah payah undang orang giliran penarikan saldo masuk tolong perbaiki pengguna kapok nonton orang joget
69,Positif,mantap video keren banget lihat lihat emang bagus
70,Positif,sumpah aplikasi jelek banget bohong
71,Positif,aplikasi bagus bangan download
72,Positif,bagus aplikasi menyukai
73,Positif,kesal kecewa dah malas instal tiktok nonto eror kalo tonton poin sesuai kuota habiskan nonton auto uninstall aja bikin pusing
74,Positif,kasih bintang bak video bagus keren pokok
75,Positif,tiktok platform video live stream sosial broadcaster sarana mengelola mengembangkan bisnis bertemu orang pamer bakat teman dunia kode undangan bak dipakai member tiktok
76,Negatif,yeay aplikasi tiktok penghasilan uang menonton video terbukti membayar
77,Positif,aplikasi super seru banget
78,Positif,aplikasi hadiah uang nonton video aja
79,Positif,bagus banget wajib download lihat
80,Positif,bagus banget njrotttt emg bagus
81,Positif,aplikasi menghibur bagus lihat kebawah dibilang bagus
82,Positif,aplikasi mantap banget ayo download aplikasi download
83,Positif,apalikasi bagus banget wajib download
84,Positif,sri download aja lihat lihat suruh download
85,Positif,aplikasi bagus banget lihat
86,Negatif,tolong video giveaway uang blokir aja bak aja orang pengemis komentar dihilangkan aja biar ngga netizen jahat komen biar ngga bikin malu tulisan busuk netizen nama indonesia
87,Negatif,emang tertarik tagar konten orang dimasukin blok org pake tagar masuk tiktok sih suka kapal dimasukin fyp
88,Positif,bagus banget aplikasi suka
89,Positif,bagus banget download lihat bilang bagus ngerti dah
90,Negatif,developer tiktok lag bak pengguna merasakan kesalahan teknis tolong diperbaiki man kemarin video video tiktok terimakasih
91,Positif,aplikasi bagus banget
92,Positif,tiktok jutaan bonus suka banget pakai aplikasi tiktok pakai kode bonus aplikasi aman
93,Positif,iri iri iri dengki yok mari pakai bak bonus buruan klaim kehabisan
94,Positif,suka banget tiktok
95,Positif,bacot aplikasi tai misi anjing bohong hayuk
96,Positif,asik koin tiktok diuangkan loh guy hoax pakai kode undangan koin
97,Positif,bagus aplikasi dibawah umur konten seumuran orang tua diawasi anak anak biar ngga kebablasan bak konten mendidik tiktok pendidikan memasak pengetahuan bak pokok pintar
98,Positif,bagus banget aplikasi karna aplikasi hiburan bak banget pikiran kuliah nambah nambah uang saku karna aplikasi menghasikan uang
99,Positif,aplikasi bagus buruan instal
100,Negatif,aplikasi buruk seru
101,Positif,wow bagus banget
102,Positif,bagus banget lihat kebawah uda kubilang
103,Positif,aplikasi bagus lihat
104,Positif,aplikasi seru lihat bilang aplikasi bagus banget
105,Positif,bagus lihat bilang bagus
106,Positif,bagus sulit dilupakan sampe memiliki luas follow aja kak nomor pimpinan dpr tertulis kecamatan tanjung priok pecahan planetisimal
107,Positif,aplikasi bagus banget
108,Positif,aplikasi bagus banget lihat lihat kebawah dah bilang bagus
109,Positif,suka tiktok bts army download tiktok seru
110,Positif,aplikasi bagus banget
111,Positif,hey dani yating kalo cewek sebarin aurat follow cari video cewek nutupin aurat hilang
112,Positif,aplikasi lawak lihat youtube aplikasi penghasil uang ketemu tiktok legit membayar scam ketaan download pakai link daftar suruh masukin kode dibilang penipuan kontrol maksud gimana aja main tiktok
113,Positif,aplikasi tiktok keren habis download bak video lucu trend menonton terhibur
114,Positif,makasih tiktok seleb makasih halu gede banget btw aplikasi menghibur wajib download
115,Positif,aplikasi sanggat keren nonton video lihat lihat pocong kah biang aplikasi bagus
116,Positif,aplikasi bagus
117,Positif,aplikasi cakep banget
118,Positif,wow bagus banget gabakal kaya orang
119,Positif,aplikasi bagus banget fiks pokok download
120,Negatif,tiktok kayak sampah masukin kode gagal mulu penipuan mulu emang nipu darimana masukin kode hilang lumayan uang nambah
121,Positif,tukang bangunan kerja padang plafon padang keramik pemasangan batu bata dinding bangunan pokok bak pengalaman bidang bangunan pengalaman tukang ojek kerja tani ladang pengalaman bola voli pengalaman melukis pengalaman laut mencari ikan
122,Positif,aplikasi bagus banget
123,Positif,aplikasi bagus
124,Positif,jelek banget bohong
125,Positif,bagus banget lihat lihat gua ganteng
126,Positif,aplikasi bagus banget tau aplikasi bagus aja lihat
127,Positif,aplikasi bagus banget
128,Positif,aplikasi bak informasi bermanfaat cepat saji cepat viral uang tunai lumayan bintang aplikasi kekurangan kekuranga kode undangan isi esok hilang
129,Positif,suka tiktok download aplikasi kakak cantik kepo
130,Positif,terimakasih tiktok ilmu ilmu dapatkan tiktok bak orang membagi pengalaman cerita kehidupan tip kehidupan terimakasih menciptakan aplikasi tiktok
131,Positif,bagus
132,Negatif,bismillah download aplikasi mengontrol dirimu aplikasi bak konten konten negatif ketahuilah raja mempui larangan larangan allah diharamkan dosa mendekati dosa
133,Positif,aplikasi penghasil uang didunia modal duduk nonton video suda jutaan orang membuktikan dibayar cepat penarikan uang upload video like share uang lewatkan uang tambahan poin tambahan
134,Positif,bagus
135,Positif,cuman hiburan bak manfaat ambil tiktok bak video edukasi inspirasi bermanfaat dukung aplikasi sukses tiktok
136,Positif,bagus banget lihat bilang
137,Negatif,hai admin turunin dikit resiko tiktok bak akun teman teman tiktok postingan blokir permanen melaporkan bak melaporkan akun blokir cek konten kasian dah bak
138,Negatif,hei bikin aplikasi bener tiktok seharus memuaskan pelanggan berpartisipasi maju coba lihat like meningkatkan aplikasi tamu tamu
139,Negatif,tiktok hadiah undang teman memproses misi menonton video hilang misi undang teman dipikir mudahkah cari pengguna susah orang terkenal kaya misi nonton video balikin dikit lumayan cuman
140,Negatif,terpaksa turunin bintang koin muncul sebentar pas nonton macet menit parah koin misi nonton hilang penarikan cair cair kecewa banget
141,Positif,tolong ramein tiktok jefranw seleb followers bak tolong yah video masukin fyp biar tau akun terimakasih tiktok love you much
142,Positif,suka banget download bagus banget
143,Positif,aplikasi cocok mengisi santai tolong tambahkan fitur dark mode android man instagram twitter dimana fitur dark mode terima kasih semoga tiktok merespons ulasan
144,Positif,aplikasi bagus emang bagus
145,Negatif,maaf admin terhormat susah memasukan kode undangan persulit biar pengguna tiktok bak kalah bersaing snack video
146,Positif,aplikasi bagus hiburan suka banget aplikasi menghasilkan uang suka banget tiktok mengumpulkan uang tiktok tarik saldo kasih bintang aplikasi bagus terimakasih ciptakan aplikasi makasih
147,Negatif,kesal banget install aplikasi menghabiskan kuota iming event undang temen masukin kode aja susah error trus aplikasi penipu
148,Positif,sumpah bagus banget game lihat
149,Positif,aplikasi terbaik terbukti menghasilkan uang mantap
150,Positif,bangun tidur pagi akun tiktok hilang buka pas download ulang daftar pas masukin tanggal lahir tulisan maaf memenuhi syarat tiktok terima kasih tertarik coba tolong dibenerin
151,Positif,
152,Positif,aplikasi bagus lihat lihat kepo
153,Negatif,please pulihkan akun kasih kesempatan hapus video ditiktok akun diblokir banget aplikasi akun digembok pulihkan kasih bintang awas aja data disalahgunakan
154,Positif,aplikasi bagus bagus banget lihat gua bilang bagus
155,Negatif,tiktok yah video hapus melanggar panduan komunitas privasi kena imbas email respon band ajukan konten pulihkan video terhapus tolong tiktok
156,Negatif,aplikasi beli coin masuk coin aplikasi tiktok tolong perbaiki pembelian coin rugi
157,Positif,aplikasi bagus download aplikasi
158,Positif,aplikasi bagus banget lihat
159,Positif,sih kalo scrol kebawah nemu aplikasi bagus baget lihat dah bilang bagus sih kau pikir bagus kagak
160,Negatif,halo admin tiktok aplikasi tiktok misi menonton video menit kecurangan aplikasi lakukan mereset factory ponsel ponsel login
161,Positif,bagus lihat orang dibilang bagus
162,Negatif,isi fyp video akun video orang uninstall install tiktok tolong perbaiki secepat
163,Positif,aplikasi bagus banget
164,Positif,aplikasi seru napa lihat lihat
165,Positif,bagus aplikasi bagus lihat lihat tampok
166,Positif,aplikasi penggunaan paket data saran pengembang aplikasi tolong tambahkan set resolusi layar biar video resolusi layar diatur rendah resolusi layar
167,Positif,aplikasi bagus banget seriusan bohongin bilangin bagus ngelihat kebawah
168,Positif,point nonton video hilang trus berhasil undang teman download kayak gak nambah reward uang point apapun salah
169,Negatif,protes berkomentar positif blokir maksud sih memposting video direkam layar tutorial dianggap melanggar komunitas memposting video rekam layar terblokir
170,Negatif,bagus banget bohong hayuk aplikasi jelek bak kaum perempuan menyebar aurat ditutup
171,Positif,aplikasi bagus banget lihat gue bilang bagus
172,Positif,woi pembuat aplikasi tiktok aplikasi bagus banget
173,Positif,gbhngnvmapytt masukan kode kurung pengguna instal tiktok jamin cash pengguna
174,Positif,aplikasi bagus
175,Positif,tiktok terkenal wajib download lihat
176,Positif,nyesel banget pilih aplikasi bohong aplikasi bagus banget
177,Positif,aplikasi bagus
178,Positif,aplikasi bagus menghibur gabut donwload aja tiktok bagus lihat lihat bilang bagus
179,Negatif,halo nama asep
180,Negatif,jujur pengguna tiktok buka tolong tiktok pembatasan karakter comment dikit banget doang nyusahin orang hidup mempaikan tolong minimal karakter aplikasi playstore tolong sumpah
181,Positif,akun ban followers gua follow bak orang gampang kau ban tolong tiktok mengembalikan akun nama akun areli evan tolong tiktok mengembalikan akun memai aturan mohon kembalikan
182,Positif,suka tiktok aplikasi bagus banget
183,Positif,jelek canda lihat kebawah bercanda
184,Negatif,sepakat anak aktif tiktok anak mengembangkan bakat imajinasi hapus aja aplikasi kalangan bak konten porno laporkan tanggapan melanggar panduan komunitas
185,Negatif,bug barusan salin link video kirim temen pas temen buka video link salin video beda video link salin mohon perbaiki annoy
186,Positif,umm hai lag video putar jaringan internet tolong perbaiki
187,Positif,aplikasi tiktok menghibur banget sih pas bosen gitu buka aplikasi tiktok terhibur bosen pas mood beraktifitas buka apikasi tiktok mood pokok tiktok terbaik saranin keseringan buka tiktok main
188,Positif,aplikasi super duper bagus menghibur sedia wajib download dijamin bahagia bak konten konten bermanfaat menghibur horor pokok download kecewa
189,Negatif,system panduan komunitas upload berbaur kejahatan kekerasan konten sexsual bak bak konten menonjolkan aman aja gak dihapus gua upload video aja hapus dibanned kontol konsisten
190,Positif,tolong bantu reset sandi hapus email terkait akun akun retas orang login tolong bantuan semoga tanggapan username piteklubpi
191,Positif,hallo admin tiktok menyukai aplikasi aktif tiktok alhamdulillah hasil bak like video bak follower bak banget verify
192,Negatif,tolong pencet not interest video bak muncul fyp tolong command not interest berguna btw akun qiyaaw
193,Positif,semoga postinganku fyp terimakasih
194,Negatif,jujur kesel banget sih tiktok login akun blok akun blok kecewa akun login akun pelanggaran langsung blok
195,Positif,halo devoloper tiktok mohon saran sih misi putar point perlancar aja betah akun pindah pindah sekian terimakasih semoga kabulkan amiiin
196,Negatif,admin tiktok kompeten kerjaan ngeblokir akun akun dilaporin alasan melanggar panduan admin tiktok membedakan konten melanggar konten disukai selera orang karna dilapangan bak konten
197,Positif,woyy admin tiktok jabodetabek tolong masukin fyp konten konten orang bolangg cibuburjaktim main tiktok sampe konten konten jarang banget masuk fyp konten konten orang selagi tolong masukin
198,Positif,sip gimana gitu pakai tiktok download coba terta bak edukasi trik dll bermanfaat ditampilkan fyp thank tiktok inovasi
199,Positif,bagus banget game pokok seru
200,Positif,terhibur tiktok kadang penat bosan pekerjaan melelahkan hibur buka tiktok memperbak teman saudara
201,Positif,suka aplikasi tiktok curahan hatiku menambah bak teman saudara terima kasih tiktok
202,Negatif,kecewa developer tiktok bikin system bedain akun real palsu real susah masukin kode gedein coin kehadiran koin nonton aja revisi bedain mah
203,Positif,senang bermain tiktok hiburan membosankan versi terbaru filter nambah pengalaman
204,Positif,tiktok koin pakai akun alamat amerika koin
205,Negatif,memasukan kode undangan pengguna keluhan lolos control penipuan keluhan kesalahan jaringan harap coba keluhan mohon diperbaiki tiktok
206,Negatif,tanda koin tama hilang gimana sih koin
207,Positif,jelek bohong hayuk
208,Negatif,jelek banget tolong nyiptain tiktok tolong perbaiki
209,Positif,pakai kaya kaset kalo dibuka
210,Negatif,sulit memasukkan kode undangan pengguna kecewa kebajikan tiktok besarkan hadiah menonton undang teman dibagikan kode undangan lolos kontrol penipuan
211,Positif,bagus aplikasi tiktok sedih senang bikin tiktok
212,Positif,iya aplikasi tiktok menghasilkan uang klau emang gimana gimana mengambil tolong paham terimakasih
213,Positif,semoga tiktok kebaikan joget
214,Negatif,admin dibalas keluhan uang habis
215,Positif,bagus bilang bagus download video diperbaiki
216,Positif,pemula lumayan sulit aplikasi menghibur
217,Positif,tiktok bagus menghibur orang
218,Positif,kemana koin hilang instal aplikasi tiktok lite saran aja aja keluhan
219,Positif,bagus pokok mah gak bkalan rungkad kalo dah kenal dunia pertiktokan mah
220,Negatif,woy anjing gua gak daftar goblok kalo gua kasih bintang tiktok goblok
221,Positif,bagus menghibur makasih tiktok
222,Positif,semoga rakyat sebangsa senegara
223,Positif,tolong koin hadir nonton menit adakan event undangan besarkan gara gara kode undangan bak bikin akun palsu curang bug akibat akun original error akun penipuan
224,Negatif,bintang aja heran aplikasi filter bak dipake sih tolong
225,Positif,ksih bintang aplikasi kenal orang berhadapan post duet orang ditiktok view
226,Positif,alhamdulillah ilmu bermanfaat
227,Positif,terima kasih tiktok aplikasi bagus lihat kayes jog cewek lai live stream mantap mantap kurangan pakai aja tiktok terima kasih
228,Positif,download gimana tolong diperbaiki mohon kerja
229,Negatif,tiktok kalo post video buram galeri bagus post buram gak
230,Negatif,masuk akun gak alasa sandi salah bener tolong diperbaiki balikin akun nama akunku alxxz tolong diperbaiki terimakasih
231,Positif,keren banget bikin terhibur love tiktok
232,Positif,memuaskan bagus
233,Positif,pisau buruk tergantung user alhamdulilah tiktok bak ilmu pengetahuan hiburan
234,Positif,suka banget nambah teman
235,Positif,tiktok menghibur banget download sekara
236,Positif,terimakasih tiktok hiburan diaplikasi pekit membaik
237,Positif,menyenangkan menghibur
238,Negatif,muncul logo koin restart berkali kali
239,Positif,dikasih bintang
240,Positif,kasih bintang tolong perbaiki tiktok koin
241,Positif,kasih bintang tolong perbaiki dimasalah coin undangan makasih
242,Negatif,buruk mencoba menonton video point hasil menonton
243,Positif,terhibur bak ilmu
244,Positif,fyp mudah fyp kasih bintang piraku tiktok priabaik
245,Positif,bagus disukai bak orang
246,Positif,kasih bintang aplikasi menghibur informasi informasi update aplikasi
247,Positif,keren bet sih maaf tau bilang kasih bintang aplikasi favorit
248,Positif,lumayan peluran bakat
249,Negatif,kasih bintang coba bintang
250,Positif,aplkasi keren
251,Positif,aplikasi bagus banget bermanfaat
252,Negatif,ngapus komen gua kemaren terima hah
253,Positif,tau tau makasih tiktok
254,Positif,hallo nama gra bilang kalo aplikasi bagus kasih bintang yah
255,Positif,suka aplikasi menghibur bak info info positif
256,Positif,tanda koin hilang koin bak
257,Positif,koin hilang gimana
258,Positif,bintang
259,Positif,kembalikan event nonton menit
260,Positif,happy merugikan orang bikin tersenyum tiktok
261,Positif,alhamdulillah aplikasi keren bagus
262,Positif,seneng pokok
263,Positif,aplikasi bagus
264,Positif,terima kasih tiktok hiburan mumet bak teman teman terima kasih
265,Positif,bagus menarik sukses pendapatan orang
266,Negatif,aplikasi bagus banget
267,Negatif,assalamualaikum coba pakai aplikasi tiktok bagus
268,Positif,bagus membantu
269,Positif,asik banget tiktok gua suka
270,Positif,aplikasi keren hiburan
271,Negatif,kasi bintang karna akun terkena blokir mohon pulihkan akun kasi bintang
272,Positif,memuaskan
273,Positif,suka tiktok
274,Positif,terima kasih tiktok hiburan sedih sebalik
275,Negatif,bikin akun tiktok foto profil dihilangkan alasan pelanggaran
276,Positif,menghibur
277,Positif,cari angka
278,Negatif,dark mode
279,Positif,cuman suka aja
280,Negatif,lumayan menghibur
281,Positif,aplikasi bagus ngehibur cepetan download aplikasi
282,Negatif,tiktok bak informasi
283,Positif,suka banget
284,Positif,fyp kadang kadang
285,Negatif,iklan aplikasi terusan iklan ganggu aja
286,Positif,tiktok menyediakan wadah bete hiburan pandemi
287,Negatif,bintang aja koin event gak muncul diaplikasi kalo muncul kasih bintang terperbaiki
288,Positif,sayang aplikasi tiktok duit negeri
289,Negatif,logo koin muncul user tolong diperbaiki
290,Positif,aplikasi bagus cuman bak pengemis point tiktok wowkwoowok miskin orang mbak rosting
291,Positif,penonton tiktok tiktok tersenyum
292,Negatif,tiktok bertukar informasi kawan
293,Positif,bagus cari poin muncul
294,Positif,alhamdulillah menghibur bagus
295,Positif,kasih terbaik kecewa
296,Positif,semoga konten gue bikin fyp yaaa
297,Positif,menghibur silaturahmi
298,Negatif,maaf yah kasih bintang karna tiktok lemot
299,Positif,aplikasi tiktok bagus menghibur
300,Positif,sih aplikasi cuman masuk kleuar cuman pertaan gimna iya aplikasi gitu biar editin video bikin ditiktok dislow gitu
301,Negatif,membantu
302,Negatif,aplikasi kadang ilang kadang icon misi coin malesin
303,Positif,bagus seru seklai aplikasi tiktok terima kasih
304,Negatif,sampah event susah event muncul
305,Negatif,nice konten hoax provokasi akun kreator diblokir suspend
306,Positif,kasih bintang please tiktok sopan seru please langsung blokir makasih
307,Positif,bagus kasih bintang tiktok duet
308,Positif,solusi kotak kado tiktok muncul
309,Negatif,bintang karna memasukkan kode misi
310,Negatif,gimana logo koin memunculkan point
311,Negatif,pasang foto profil hilang
312,Positif,bagus
313,Positif,aplikasi rekomen bagus
314,Negatif,akun buka dibalas
315,Positif,menghiburku
316,Positif,aplikasi bagus menghibur
317,Positif,seneng bikin hiburan luamayan terhibur
318,Positif,makasih tiktok aplikasi berguna
319,Positif,bagus cewek cantik yuhuuuu
320,Positif,mantap kejenuhan orang terobati aplikasi
321,Negatif,penarikan uang gagal mulu
322,Negatif,kalo bagus aplikasi tambahkan bintang
323,Positif,aplikasi pemersatu bangsa
324,Positif,bagus semoga tiktok gua cewe fyp
325,Positif,seru bikin ketawa
326,Negatif,perbarui misi menonton muncul
327,Positif,terhibur tiktok
328,Negatif,tiktok jelek sih tolong diperbaiki
329,Positif,bagus banget nemenin gabut
330,Positif,maaf update
331,Positif,tiktok membantu meyegarkan
332,Positif,pokok hiburan
333,Positif,suka
334,Positif,menghibur menghilangkan lelah
335,Positif,sumpah aplikasih tiktok memuaskan banggat sumpah kecewa dah
336,Negatif,aplikasi membayar downlod
337,Positif,keren banget
338,Negatif,snack video penarikan gampang gak susah misi gampang gak stak menit
339,Positif,makasih
340,Positif,suka tiktok suka tiktok semoga sukses sehat dimudahkan rejeki aminn
341,Negatif,saldo hilang cek transaksi kosong
342,Negatif,inti gaseasik ngerti kau sayang
343,Positif,terhibur banget aplikasi hiburan cocok
344,Positif,bagus sayang live blokir
345,Negatif,gambar
346,Positif,mempererat tali silaturahmi
347,Negatif,post bilang pelanggaran aneh
348,Positif,suka tiktok
349,Positif,viewers akun ngestuck mulu njer penonton
350,Positif,makasih tiktok mantappp
351,Positif,menyukai tiktok
352,Negatif,nonton parah min
353,Positif,epep online
354,Positif,menghibur bekarya karya tersediri
355,Negatif,masukin kode ganti akun gimana sih
356,Positif,fxda jwpww koin
357,Positif,susah koin
358,Positif,suka tiktok
359,Negatif,nyobain kalo sukses bintang makasih
360,Positif,waw aplikasi mantap bohong
361,Positif,bagus menghibur
362,Positif,bagus hiburan
363,Positif,efek glow gak tiktok burem smua efek gak
364,Positif,
365,Positif,bagus pokok mah
366,Positif,mantap mudah
367,Positif,terbaik menghibur
368,Positif,uang
369,Negatif,akun blokir norak unduh
370,Positif,semoga mantap
371,Negatif,enak
372,Positif,lanjutkan prestasimu nak
373,Positif,tiktok bagus
374,Negatif,koin
375,Positif,main tiktok menghibur bayak temen
376,Positif,semoga berkarya
377,Positif,piknik cari pengalaman
378,Positif,suka banget main tiktok
379,Positif,pengalamaman cetek
380,Positif,bagus menghibur
381,Negatif,postingan susah masuk beranda
382,Positif,bagus hiburan
383,Positif,bagus menghibur
384,Negatif,logo bonus muncul
385,Positif,aplikasi menarik
386,Negatif,kasih bintang
387,Positif,bagus hiburan
388,Negatif,kalo bagus bintang
389,Positif,bagus hiburan
390,Positif,aplikasi bagus menarik
391,Negatif,jaringan bagus memuat hapus aja
392,Positif,video video gila
393,Positif,poko tiktok indah but hiburan
394,Negatif,koin
395,Negatif,logo koin
396,Positif,bagus
397,Positif,semoga event yaa
398,Positif,aplikasi bagus
399,Positif,suka tiktok
400,Negatif,kecewa developer tiktok bikin system bedain akun real palsu real susah masukin kode gedein koin kehadiran koin nonton aja revisi kalo bedain mah
401,Negatif,memasukan kode undangan pengguna keluhan lolos control penipuan keluhan kesalahan jaringan harap coba keluhan mohon diperbaiki tiktok
402,Negatif,tanda koin tama hilang gimana sih koin
403,Negatif,bintang aja heran aplikasi filter bak gak dipake sih tolong
404,Negatif,assalamualaikum coba pakai aplikasi tiktok bagus
405,Negatif,dark mode
406,Negatif,tiktok bertukar informasi kawan
407,Negatif,maaf yah kasih bintang karna tiktok lemot
408,Negatif,aplikasi kadang ilang kadang icon misi coin malesin
409,Negatif,nyobain kalo sukses bintang makasih
410,Negatif,kasih bintang
411,Negatif,jaringan bagus memuat hapus aja
412,Negatif,koin
413,Negatif,tiktok poin saldo gak logo notifikasi undangan
414,Negatif,tiktok error pemutaran jam
415,Negatif,upload ketiktok gak alias gitu
416,Negatif,poko mantap menghilangkan jenuh
417,Negatif,kasih bintang karna tiktok macet halo hpku oppo
418,Negatif,hai kalo yah aplikasi bagus
419,Negatif,seukuran aplikasi video aplikasi bak memakan penyimpanan
420,Negatif,gak nerima kode undangan pengguna tiktok aneh
421,Negatif,payah pendapatan koin mengunakan tiktok pendapatan nonton video coin chekin share gimana gitu
422,Negatif,nama coba iya kasih bintang aja bagus
423,Negatif,lihat tiktok lite tiktok tiktok palsu
424,Negatif,tiktok hapus diplaystore mendownload jalan jalan downloadtan
425,Negatif,tiktok tiktok isi kreatifitas isi banci anak alay anak gaya caci maki tetangga cewek burik pakai tepung dimuka kembalikan tiktok tiktok isi sampah tiktok blokir
426,Negatif,narik uang sih solusi min
427,Negatif,download selesai download gitu sih
428,Negatif,konten konten sampah cewek mulus sex dll masuk beranda tolong blokir orang orang konten dipebaiki kasih bintang
429,Negatif,hormat musical kecewa pembaruan aja kecewa pembaruan mohon maaf musical dikembalikan maaf salah
430,Negatif,event ngebug perbaiki man
431,Negatif,keakun tolong diperbaiki capek berjuang sampe beribu keakun
432,Negatif,seru banget sumpah nonton
433,Negatif,didownload sil bagus maaf kasih bintang
434,Negatif,bad gak gak video bikin kesel aja
435,Negatif,transisi jelek banget suka lag
436,Negatif,please tiktok tolong jelasin gak buka tiktok habis download buka gak tolong tiktok hpku gak
437,Negatif,kasih bintang coba bagus ditambahi
438,Negatif,tiktok asli seh bingung njir tiktok asli
439,Negatif,sumpah bingung upload video jam gak nonton gak like yaa
440,Positif,keren banget program aplikasi tiktok banget bagus menyukai uang bak terhibur enjoy banget aplikasi
441,Positif,bagus aplikasi menyukai
442,Positif,aplikasi hadiah uang nonton video aja
443,Positif,bagus lihat bilang bagus
444,Positif,aplikasi terbaik terbukti menghasilkan uang mantap top
445,Positif,bagus lihat orang dibilang bagus
446,Positif,point nonton video hilang berhasil undang teman download kayak gak nambah reward uang point apapun salah
447,Positif,umm hai lag video diputar jaringan internet tolong perbaiki
448,Positif,semoga postinganku fyp terimakasih
449,Positif,menyesal download aplikasi pengguna bak membuktikan aplikasi bagus karna menghibur bermanfaat bonus uang aplikasi cocok kalangan
450,Positif,maaf tiktok mengadakan event persulit perekonomian sepi dipersulit kode undangan lolos kecewa tolong diperbaiki terimakasih
451,Positif,koin gak nambah nonton video gak nambah pendapat
452,Positif,disayangkan bak pengguna wanita medari video dijoin laki video emoji cinta kasih wanita menjatuhkan martabat wanita publik
